obs_id,verified,title,block,purpose,center_lat,center_lon_east,sun_elev_deg,resolution_cm_px,boulder_expectation,hirise_url,reference,reference_url,notes
ESP_036761_1845,yes,InSight Mission Candidate Landing Site,V_validation,independent published rock counts + equatorial coverage,4.429,135.623,36,25.0,mostly poor with rocky-ejecta patches (published SFD),https://www.uahirise.org/ESP_036761_1845,Golombek et al. 2021 Earth & Space Science,https://doi.org/10.1029/2021EA001959,InSight landing site; used for rock analysis around lander; calibrated boulder-poor anchor; stereo pair with ESP_037262_1845
ESP_037262_1845,yes,InSight Mission Candidate Landing Site,V_validation,independent published rock counts + equatorial coverage,4.427,135.623,36,27.9,mostly poor with rocky-ejecta patches (published SFD),https://www.uahirise.org/ESP_037262_1845,Golombek et al. 2021 Earth & Space Science,https://doi.org/10.1029/2021EA001959,InSight orthoimage/DEM product covering lander location; stereo pair with ESP_036761_1845
PSP_001521_2025,yes,Viking Lander 1 (Thomas Mutch Memorial Station),V_validation,ground-truthed lander site: published HiRISE rock counts (69 rocks >=1.5 m in 288x242 m) + VL1 surface rock data + 22N Chryse lat band,22.273,312.054,42,30.3,poor-to-moderate (published counts),https://www.uahirise.org/PSP_001521_2025,Golombek et al. 2008 JGR Planets,https://doi.org/10.1029/2007JE003065,CORRECTED 2026-06-12: VL1 calibration scene in Golombek 2008 NOT Phoenix; lander visible in image
PSP_001719_2025,yes,Possible Viking Lander 1 Landing Site,V_validation,ground-truthed lander site: published HiRISE rock counts (43 rocks >=1.5 m in 301x241 m),22.268,312.056,40,28.8,poor-to-moderate (published counts),https://www.uahirise.org/PSP_001719_2025,Golombek et al. 2008 JGR Planets,https://doi.org/10.1029/2007JE003065,CORRECTED 2026-06-12: VL1 calibration scene NOT Phoenix; stereo companion of PSP_001521_2025
PSP_008591_2485,yes,Phoenix Lander Hardware: EDL +22,V_validation,ground-truthed lander site: automated rock counts over 269361 m2 centered on Phoenix lander + 68N polygonal plains,68.208,234.256,41,34.6,poor (Phoenix landed on low-rock surface; published counts),https://www.uahirise.org/PSP_008591_2485,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,ID extracted from paper text + page verified (lander + chute + heat shield visible); replaces the Phoenix-ellipse to-vet row
PSP_007853_2485,paper-text,Phoenix landing site (pre-landing),V_validation,published HAND-measured rock counts (Heet et al. 2009) + 68N polygonal plains,68.2,234.3,,,poor (published counts),https://www.uahirise.org/PSP_007853_2485,Heet et al. 2009 JGR / Golombek et al. 2012,https://doi.org/10.1029/2009JE003416,ID quoted from Golombek 2012 text (rocks measured by hand by Heet et al. in this image); coords approximate - vet on HiRISE page
PSP_001391_2465,yes,Possible Phoenix Lander Landing Site,V_validation,cross-detector check (MBARS published boulder stats) + high-lat northern plains,65.994,256.000,31,32.6,rich near crater (boulder-bearing ejecta),https://www.uahirise.org/PSP_001391_2465,Hood et al. 2022 Earth & Space Science (MBARS),https://doi.org/10.1029/2022EA002410,MBARS demo crater at 65.98N 103.95W; compare BoulderNet vs MBARS on same ground
PSP_009505_1755,paper-text,Gale landing ellipse east-of-center,V_validation,published rock counts (MSL site selection) + southern-equatorial anchor,-4.5,137.4,,,poor-to-moderate (published counts),https://www.uahirise.org/PSP_009505_1755,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,pilot study zone 8; Curiosity rover ground truth exists nearby; coords approximate - vet
PSP_010573_1755,paper-text,Gale landing ellipse southwest-center,V_validation,published rock counts (245 cells of 450 m),-4.5,137.4,,,poor-to-moderate (published counts),https://www.uahirise.org/PSP_010573_1755,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,coords approximate - vet
ESP_018920_1755,paper-text,Gale landing ellipse southwest-center,V_validation,published rock counts; paper used it as a BLIND reproducibility test,-4.5,137.4,,,poor-to-moderate (published counts),https://www.uahirise.org/ESP_018920_1755,Golombek et al. 2012 Mars Journal,http://www.marsjournal.org/contents/2012/0001/files/golombek_mars_2012_0001.pdf,coords approximate - vet
