ObsId,ProductId,LabelSource,BoulderLabel,TerrainNote,CenterLat,CenterLon_360,CenterLon_180,IncidenceAngle,EmissionAngle,CTX_TileName,BrowseURL,JP2_URL,LabelURL,QualityNote,OriginalNote,MapPixel_mpp,CenterSource,NPolygons,PrjSP1Corrected,IntegrityOK
ESP_017355_2260,ESP_017355_2260_RED,none,unknown,,45.8167,16.4724,16.4724,,,E016_N44,https://www.uahirise.org/ESP_017355_2260,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_017300_017399/ESP_017355_2260/ESP_017355_2260_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_017300_017399/ESP_017355_2260/ESP_017355_2260_RED.LBL,,,,pds_footprint,1105447,True,True
ESP_042964_2160,ESP_042964_2160_RED,spreadsheet,Boulder rich,,35.8165,353.1509,-6.8491,,,W008_N32,https://www.uahirise.org/ESP_042964_2160,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_042900_042999/ESP_042964_2160/ESP_042964_2160_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_042900_042999/ESP_042964_2160/ESP_042964_2160_RED.LBL,"Some Clear, Some Buried",HIVIEW. Plains. Large swath of consistent boulders.,0.25,pds_footprint,34237,True,True
ESP_045139_2270,ESP_045139_2270_RED,spreadsheet,Boulder rich,,46.4421,13.3678,13.3678,,,E012_N44,https://www.uahirise.org/ESP_045139_2270,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045100_045199/ESP_045139_2270/ESP_045139_2270_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045100_045199/ESP_045139_2270/ESP_045139_2270_RED.LBL,"Some Clear, Some Buried",Plains. Ubiquitous boulders of all kinds.,0.5,pds_footprint,243679,True,True
ESP_045390_2215,ESP_045390_2215_RED,spreadsheet,Boulder rich,,42.0779,6.3755,6.3755,,,E004_N40,https://www.uahirise.org/ESP_045390_2215,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045300_045399/ESP_045390_2215/ESP_045390_2215_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045300_045399/ESP_045390_2215/ESP_045390_2215_RED.LBL,Clear Boulders,"Mesas. Heavily eroded, many boulders in bottom half",0.5,pds_footprint,20456,True,True
ESP_045550_2180,ESP_045550_2180_RED,spreadsheet,Boulder rich,,37.4441,317.6231,-42.3769,,,W044_N36,https://www.uahirise.org/ESP_045550_2180,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045500_045599/ESP_045550_2180/ESP_045550_2180_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045500_045599/ESP_045550_2180/ESP_045550_2180_RED.LBL,"Some Clear, Some Buried",Plains. Many boulders.,0.25,pds_footprint,326636,True,True
ESP_045878_2235,ESP_045878_2235_RED,spreadsheet,Boulder rich,,43.2971,4.7797,4.7797,,,E004_N40,https://www.uahirise.org/ESP_045878_2235,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045800_045899/ESP_045878_2235/ESP_045878_2235_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045800_045899/ESP_045878_2235/ESP_045878_2235_RED.LBL,Clear Boulders,Plains. Excellent boulders,0.5,pds_footprint,21483,True,True
ESP_045983_2270,ESP_045983_2270_RED,spreadsheet,Boulder rich,,46.8808,14.2737,14.2737,,,E012_N44,https://www.uahirise.org/ESP_045983_2270,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045900_045999/ESP_045983_2270/ESP_045983_2270_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_045900_045999/ESP_045983_2270/ESP_045983_2270_RED.LBL,"Some Clear, Some Buried",Plains. Consistent but many buried boulders.,0.25,pds_footprint,99740,True,True
ESP_046328_2180,ESP_046328_2180_RED,spreadsheet,Boulder rich,,37.6448,316.2324,-43.7676,,,W044_N36,https://www.uahirise.org/ESP_046328_2180,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046300_046399/ESP_046328_2180/ESP_046328_2180_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046300_046399/ESP_046328_2180/ESP_046328_2180_RED.LBL,Clear Boulders,Craters. Plains. Sparser but consistent boulders. ,0.25,pds_footprint,138373,True,True
ESP_046803_2325,ESP_046803_2325_RED,spreadsheet,Boulder rich,,52.3345,305.8672,-54.1328,,,W056_N52,https://www.uahirise.org/ESP_046803_2325,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046800_046899/ESP_046803_2325/ESP_046803_2325_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046800_046899/ESP_046803_2325/ESP_046803_2325_RED.LBL,Clear Boulders,Plains. excellent (around heavily eroded crater),0.25,pds_footprint,658290,True,True
ESP_046959_2225,ESP_046959_2225_RED,spreadsheet,Boulder rich,,42.1369,8.632,8.632,,,E008_N40,https://www.uahirise.org/ESP_046959_2225,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046900_046999/ESP_046959_2225/ESP_046959_2225_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_046900_046999/ESP_046959_2225/ESP_046959_2225_RED.LBL,Clear Boulders,Mesas. Tons of good boulders. Boulder rich. Deposit!,0.5,pds_footprint,73931,True,True
