ObsId,ProductId,LabelSource,BoulderLabel,TerrainNote,CenterLat,CenterLon_360,CenterLon_180,IncidenceAngle,EmissionAngle,CTX_TileName,BrowseURL,JP2_URL,LabelURL,QualityNote,OriginalNote
ESP_055714_2270,ESP_055714_2270_RED,spreadsheet,Boulder rich,plains,46.5607,19.6782,19.6782,,,E016_N44,https://www.uahirise.org/ESP_055714_2270,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_055700_055799/ESP_055714_2270/ESP_055714_2270_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_055700_055799/ESP_055714_2270/ESP_055714_2270_RED.LBL,Clear Boulders,Plains. Low quality but can see many. 
ESP_054857_2270,ESP_054857_2270_RED,spreadsheet,Boulder rich,plains,46.388,14.9609,14.9609,,,E012_N44,https://www.uahirise.org/ESP_054857_2270,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_054800_054899/ESP_054857_2270/ESP_054857_2270_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_054800_054899/ESP_054857_2270/ESP_054857_2270_RED.LBL,Clear Boulders,Plains. Deposit!
ESP_069669_2220,ESP_069669_2220_RED,spreadsheet,Boulder rich,plains,41.6915,0.829,0.829,,,E000_N40,https://www.uahirise.org/ESP_069669_2220,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_069600_069699/ESP_069669_2220/ESP_069669_2220_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_069600_069699/ESP_069669_2220/ESP_069669_2220_RED.LBL,Clear Boulders,"Plains. Lots of good boulders, lots of buried boulders"
ESP_057469_2215,ESP_057469_2215_RED,spreadsheet,Boulder rich,mesas,41.1772,0.0139,0.0139,,,E000_N40,https://www.uahirise.org/ESP_057469_2215,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_057400_057499/ESP_057469_2215/ESP_057469_2215_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_057400_057499/ESP_057469_2215/ESP_057469_2215_RED.LBL,Clear Boulders,"Mesas. ** Mix of buried, small, large, clear boulders."
ESP_071093_2210,ESP_071093_2210_RED,spreadsheet,Boulder rich,plains,40.6997,2.2546,2.2546,,,E000_N40,https://www.uahirise.org/ESP_071093_2210,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_071000_071099/ESP_071093_2210/ESP_071093_2210_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_071000_071099/ESP_071093_2210/ESP_071093_2210_RED.LBL,Clear Boulders,Plains. Excellent boulders. Deposit!
ESP_047976_2020,ESP_047976_2020_RED,spreadsheet,Boulder rich,mesas,21.6398,323.628,-36.372,,,W040_N20,https://www.uahirise.org/ESP_047976_2020,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_047900_047999/ESP_047976_2020/ESP_047976_2020_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_047900_047999/ESP_047976_2020/ESP_047976_2020_RED.LBL,Clear Boulders,Some good boulders around the mesa (just smaller)
ESP_056165_2200,ESP_056165_2200_RED,spreadsheet,Boulder poor,plains,39.357,311.189,-48.811,,,W052_N36,https://www.uahirise.org/ESP_056165_2200,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_056100_056199/ESP_056165_2200/ESP_056165_2200_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_056100_056199/ESP_056165_2200/ESP_056165_2200_RED.LBL,Buried / Poor Boulders,HIVIEW. Plains. Poor image. I think boulder poor.
ESP_075577_2105,ESP_075577_2105_RED,spreadsheet,Boulder poor,plains,30.1626,338.87,-21.13,,,W024_N28,https://www.uahirise.org/ESP_075577_2105,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_075500_075599/ESP_075577_2105/ESP_075577_2105_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_075500_075599/ESP_075577_2105/ESP_075577_2105_RED.LBL,Buried / Poor Boulders,HIRISE. Plains. Few boulders. 
ESP_039820_1750,ESP_039820_1750_RED,diversity_pick,unknown,,-4.9112,155.5015,155.5015,44.33,7.02,E152_S08,https://www.uahirise.org/ESP_039820_1750,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_039800_039899/ESP_039820_1750/ESP_039820_1750_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_039800_039899/ESP_039820_1750/ESP_039820_1750_RED.LBL,,
ESP_065711_1545,ESP_065711_1545_RED,diversity_pick,unknown,,-25.2993,0.1797,0.1797,46.77,7.32,E000_S28,https://www.uahirise.org/ESP_065711_1545,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_065700_065799/ESP_065711_1545/ESP_065711_1545_RED.JP2,https://hirise.lpl.arizona.edu/PDS/RDR/ESP/ORB_065700_065799/ESP_065711_1545/ESP_065711_1545_RED.LBL,,
