obs_id,minx,miny,maxx,maxy,row0,col0
ESP_017355_2260,967460.0630853727,2693421.255566197,985344.9718193134,2738271.0266993945,21383,3813
ESP_042964_2160,-410972.90281975165,2116929.197384865,-401312.95211413986,2129419.13364916,894,12645
ESP_045139_2270,784820.9950861039,2741816.0086094765,799900.9181337877,2763855.8961407067,16266,14705
ESP_045390_2215,372628.0984919376,2488352.302025844,383243.0443242429,2499877.243214475,21642,27106
ESP_045550_2180,-2517157.1550356937,2212248.7109727445,-2506602.208897212,2226728.6370821916,28852,18186
ESP_045878_2235,276553.588756777,2555051.96165983,290048.5198926187,2577686.846154812,6080,7891
ESP_045983_2270,840390.7115157982,2773460.84712698,851660.6540056786,2784185.792397962,12200,25819
ESP_046328_2180,-2599231.7362119965,2226398.6387661616,-2589391.786424914,2236393.5877622887,26919,1771
ESP_046959_2225,506402.41584630776,2488857.29944886,517497.35922920244,2506227.210810814,20372,6441
ESP_047976_2020,-2164493.954663584,1281073.4627272398,-2155019.0030139284,1299273.3698537548,24664,41299
ESP_048688_2085,-2325593.132580153,1679661.428746888,-2316738.1777666756,1688411.384096174,41676,9079
ESP_049242_2115,-2567016.900603168,1847030.574668031,-2557511.949106601,1859820.5094014446,7394,8214
ESP_051943_2270,762156.1107442105,2770580.861823444,773546.0526217383,2782200.8025272954,12597,10172
ESP_052576_2250,663921.6120313975,2636141.547862528,676021.5502858388,2655311.450039192,37975,37945
ESP_053989_2260,-2783840.794158476,2686081.2930217674,-2772525.851898228,2697831.233062237,29471,12269
ESP_054000_2255,734816.2502585556,2680526.321368592,746491.1906817459,2695166.2466615685,30004,4704
ESP_054134_2265,-2844270.485787888,2738421.0259339535,-2831905.5488857254,2753315.949925681,18374,183
ESP_054397_2105,-1460132.5489950292,1789135.8701026693,-1448597.6078574276,1817880.7234186954,15782,39912
ESP_054622_2240,-2920485.096867412,2569451.888177512,-2908055.1602969402,2590056.7830314594,3606,32360
ESP_055017_2055,-1776365.9352671972,1492277.3849610635,-1766905.9835409976,1509182.2986958842,30102,24085
ESP_055055_2255,577167.0547368479,2658301.434781405,589181.9934250389,2675916.3448931393,33854,20594
ESP_055253_2245,279013.57620354765,2614581.6578818867,289958.52035188314,2626236.598407136,43790,8383
ESP_055690_2200,-2535137.0632848553,2345348.0317715984,-2523727.121509386,2365562.9286156916,1085,14590
ESP_055978_2270,842025.7031724934,2751060.961432808,854440.6398195089,2771730.8559550643,14691,26146
ESP_059421_2170,-590361.9874035711,2167803.9377728566,-579087.0449392054,2188128.8340556268,36572,24187
ESP_059686_2235,-2725001.0944153913,2552406.975157103,-2712771.156824332,2570221.884248249,7573,24037
ESP_063429_2240,446822.71987939783,2581301.8277076883,457807.66382361576,2591581.775249478,3301,41945
ESP_064510_2260,828345.7729806954,2683966.3038144824,840950.7086581525,2701736.213135261,28690,23410
ESP_066634_2210,114429.41607072006,2393922.7838963494,125914.35746346864,2411467.694365289,39324,22886
ESP_068402_2240,419672.8584241846,2564071.9156313227,432302.7939740683,2587436.796401159,4130,36515
ESP_068483_2280,-2795050.7369545326,2805765.682276544,-2779440.8166114064,2822370.5975422463,4563,10027
ESP_069669_2220,38414.80397060833,2469682.39729771,50089.74439379855,2487512.3063123124,24115,7683
ESP_069763_2235,-2747110.981589416,2548206.996589446,-2735391.041395858,2565921.906190886,8433,19615
ESP_071093_2210,122654.37409904893,2410942.6970443316,134629.31299135752,2423477.6330789947,36922,24531
ESP_071699_2260,813065.8509535993,2686421.291286768,824325.7934945091,2699541.2243362116,29129,20354
ESP_076499_1160,1312578.301959155,-3786835.6759109204,1330548.2102593458,-3764375.7905229246,41579,25417
ESP_076565_2215,328353.3244245503,2445742.5194620634,338853.2708436935,2457242.460778268,30169,18251
ESP_076723_2265,786440.9868193432,2711956.160983227,799595.9196901841,2735776.0394312264,21882,15029
