obs_id,auc_base,auc_f,d_auc,n_crops,coverage,overlap,if_iqr,if_median
ESP_045550_2180,0.783886175024977,0.3860741127505861,-0.3978120622743909,2,0.9995262908574135,0.21282511888529174,0.004373557865619659,0.08228807151317596
ESP_046328_2180,0.7518130426854073,0.35513613600976307,-0.3966769066756442,2,0.9994918699186992,0.22830902239737755,0.023964369669556618,0.08920824527740479
ESP_054397_2105,0.7107516121859019,0.42433474167963825,-0.28641687050626363,2,0.999826056705514,0.4487459532925686,0.029648909345269203,0.10841880738735199
ESP_069763_2235,0.713251033691416,0.44612439907412904,-0.2671266346172869,2,0.9992912525683967,0.9992912525683967,0.003067493438720703,0.07436195015907288
ESP_069669_2220,0.6900429887869978,0.46074046221364195,-0.2293025265733558,2,0.9997195737521032,0.28176160526312627,0.004796706140041351,0.1050429493188858
ESP_059686_2235,0.671376764006246,0.4473582143671019,-0.22401854963914414,2,0.9993106216361537,0.3075148437802994,0.005269840359687805,0.07425443828105927
ESP_064510_2260,0.7659130230785021,0.5770710536347908,-0.18884196944371123,2,0.9997186268992684,0.9997186268992684,0.007491931319236755,0.11584394425153732
ESP_047976_2020,0.8851874615857407,0.7045482483097726,-0.1806392132759681,1,1.0,0.0,0.0033137723803520203,0.08258099853992462
ESP_054622_2240,0.8043407733221033,0.6435262739226054,-0.16081449939949788,2,0.9997573404513468,0.7569389796156218,0.019811347126960754,0.08432743698358536
ESP_045983_2270,0.5712610197453215,0.43245948686222957,-0.13880153288309194,2,0.9995337995337995,0.9995337995337995,0.034435952082276344,0.10171058028936386
ESP_048688_2085,0.7502621722846442,0.620609951845907,-0.12965222043873725,3,0.9994285714285714,0.9994285714285714,0.022002123296260834,0.08418901264667511
ESP_055253_2245,0.46539278725188704,0.34386916410399776,-0.12152362314788928,4,0.9991143659485368,0.7939473115352512,0.009694050997495651,0.09063424170017242
ESP_049242_2115,0.7393826783716018,0.6381732880934001,-0.10120939027820164,2,0.9990832363033488,0.9990832363033488,0.016709335148334503,0.10386666655540466
ESP_063429_2240,0.7172513029767726,0.6186557440471845,-0.09859555892958816,2,0.9990586739257105,0.16160877319443387,0.0074782595038414,0.10896739363670349
ESP_055017_2055,0.7552616033755274,0.6669324894514768,-0.08832911392405063,2,0.9991758446185718,0.9991758446185718,0.016981355845928192,0.08793756365776062
ESP_017355_2260,0.8057105659494141,0.7239622112432321,-0.08174835470618202,2,0.9998885172798216,0.13593577074390484,0.011967990547418594,0.11150432378053665
ESP_045878_2235,0.8723482515759888,0.805846555218399,-0.06650169635758985,1,0.9994086774073766,0.0,0.004631238058209419,0.10463996231555939
ESP_071699_2260,0.8160681697029128,0.7660908109261648,-0.049977358776748027,3,0.9996189024390244,0.9996189024390244,0.010778144001960754,0.1221872940659523
ESP_053989_2260,0.8727558901797884,0.8276096092685143,-0.04514628091127404,3,0.9995581087052585,0.7802021417624881,0.006324360147118568,0.08344534039497375
ESP_055690_2200,0.7885215374454972,0.7481584253463738,-0.040363112099123466,2,0.9995617879053462,0.9910141049450224,0.01990995556116104,0.08824770897626877
ESP_055055_2255,0.8839945280437755,0.8528877915318142,-0.031106736511961386,1,0.999716151007664,0.0,0.004684148356318474,0.11103582382202148
ESP_054000_2255,0.6699737142290334,0.650031741308337,-0.019941972920696438,2,0.9996584699453552,0.7814018967716269,0.036020077764987946,0.11443458497524261
ESP_068402_2240,0.7860376580320744,0.7686317898933499,-0.017405868138724467,3,0.9993902066062702,0.3608231719456408,0.008001096546649933,0.10069216042757034
ESP_076723_2265,0.8669215023916719,0.8514738403793083,-0.015447662012363583,1,0.9997900923593619,0.0,0.0032438859343528748,0.11435886472463608
ESP_045390_2215,0.8318098282444273,0.8207495804706074,-0.011060247773819865,1,0.9990953333135792,0.0,0.005217226222157478,0.12396277487277985
ESP_045139_2270,0.908238529919019,0.9100550946414977,0.0018165647224787085,1,0.9997731397459165,0.0,0.0038267821073532104,0.11618434637784958
ESP_054134_2265,0.7859680257250333,0.8045225094041986,0.018554483679165235,2,0.9996643168848607,0.7749501938831288,0.00516674667596817,0.08286264538764954
ESP_076565_2215,0.6889785332232472,0.7236556341314571,0.03467710090820986,3,0.9990892339544514,0.9990892339544514,0.02140112966299057,0.11686129122972488
ESP_051943_2270,0.8988090469705466,0.934097038639216,0.03528799166866936,2,0.9995697074010327,0.9977809141998825,0.051231835037469864,0.07142415642738342
ESP_059421_2170,0.7163381991393456,0.7611723939241763,0.04483419478483075,3,0.9995565410199556,0.6691851645789185,0.018654998391866684,0.12693756818771362
ESP_042964_2160,0.87963904556776,0.9278070081248434,0.048167962557083444,2,1.0,0.7873719265267286,0.05299004353582859,0.13725407421588898
ESP_052576_2250,0.8251559021414251,0.8779988583804035,0.05284295623897839,1,0.9997391757955139,0.0,0.0054483115673065186,0.1058877483010292
ESP_076499_1160,0.8487743164942957,0.9020198638855593,0.05324554739126364,2,0.9997217584863661,0.5503785620736252,0.047358691692352295,0.08395242691040039
ESP_046959_2225,0.8425997025986057,0.9048675101165229,0.06226780751791716,3,0.9997121473805411,0.9997121473805411,0.04106696508824825,0.12646795809268951
ESP_068483_2280,0.6108332475023175,0.7590654718989254,0.14823222439660788,1,0.9993786748316625,0.0,0.003438688814640045,0.09166298806667328
ESP_055978_2270,0.7957031860065594,0.9508980165547399,0.1551948305481805,2,0.9997581035316885,0.8956380893705645,0.037210918962955475,0.0900026187300682
