obs_id,auc_base,auc_f,d_auc,n_crops,coverage,overlap,if_iqr,if_median,mosaic_iqr,f_iqr,iqr_ratio
ESP_045550_2180,0.783886175024977,0.3860741127505861,-0.3978120622743909,2,0.9995262908574136,0.2128251188852917,0.0043735578656196,0.0822880715131759,31.0,28.0,0.9032258064516129
ESP_046328_2180,0.7518130426854073,0.355136136009763,-0.3966769066756442,2,0.9994918699186992,0.2283090223973775,0.0239643696695566,0.0892082452774047,44.0,27.0,0.6136363636363636
ESP_054397_2105,0.7107516121859019,0.4243347416796382,-0.2864168705062636,2,0.999826056705514,0.4487459532925686,0.0296489093452692,0.1084188073873519,24.0,28.0,1.1666666666666667
ESP_069763_2235,0.713251033691416,0.446124399074129,-0.2671266346172869,2,0.9992912525683968,0.9992912525683968,0.0030674934387207,0.0743619501590728,23.0,28.0,1.2173913043478262
ESP_069669_2220,0.6900429887869978,0.4607404622136419,-0.2293025265733558,2,0.9997195737521032,0.2817616052631262,0.0047967061400413,0.1050429493188858,41.0,27.0,0.6585365853658537
ESP_059686_2235,0.671376764006246,0.4473582143671019,-0.2240185496391441,2,0.9993106216361536,0.3075148437802994,0.0052698403596878,0.0742544382810592,37.0,28.0,0.7567567567567568
ESP_064510_2260,0.7659130230785021,0.5770710536347908,-0.1888419694437112,2,0.9997186268992684,0.9997186268992684,0.0074919313192367,0.1158439442515373,51.0,28.0,0.5490196078431373
ESP_047976_2020,0.8851874615857407,0.7045482483097726,-0.1806392132759681,1,1.0,0.0,0.003313772380352,0.0825809985399246,37.0,28.0,0.7567567567567568
ESP_054622_2240,0.8043407733221033,0.6435262739226054,-0.1608144993994978,2,0.9997573404513468,0.7569389796156218,0.0198113471269607,0.0843274369835853,33.0,28.0,0.8484848484848485
ESP_045983_2270,0.5712610197453215,0.4324594868622295,-0.1388015328830919,2,0.9995337995337996,0.9995337995337996,0.0344359520822763,0.1017105802893638,26.0,27.0,1.0384615384615385
ESP_048688_2085,0.7502621722846442,0.620609951845907,-0.1296522204387372,3,0.9994285714285714,0.9994285714285714,0.0220021232962608,0.0841890126466751,52.0,28.0,0.5384615384615384
ESP_055253_2245,0.465392787251887,0.3438691641039977,-0.1215236231478892,4,0.9991143659485368,0.7939473115352512,0.0096940509974956,0.0906342417001724,29.0,28.0,0.9655172413793104
ESP_049242_2115,0.7393826783716018,0.6381732880934001,-0.1012093902782016,2,0.9990832363033488,0.9990832363033488,0.0167093351483345,0.1038666665554046,34.0,27.0,0.7941176470588235
ESP_063429_2240,0.7172513029767726,0.6186557440471845,-0.0985955589295881,2,0.9990586739257103,0.1616087731944338,0.0074782595038414,0.1089673936367034,27.0,27.0,1.0
ESP_055017_2055,0.7552616033755274,0.6669324894514768,-0.0883291139240506,2,0.9991758446185718,0.9991758446185718,0.0169813558459281,0.0879375636577606,38.0,27.0,0.7105263157894737
ESP_017355_2260,0.8057105659494141,0.7239622112432321,-0.081748354706182,2,0.9998885172798216,0.1359357707439048,0.0119679905474185,0.1115043237805366,39.0,27.0,0.6923076923076923
ESP_045878_2235,0.8723482515759888,0.805846555218399,-0.0665016963575898,1,0.9994086774073766,0.0,0.0046312380582094,0.1046399623155593,20.0,28.0,1.4
ESP_071699_2260,0.8160681697029128,0.7660908109261648,-0.049977358776748,3,0.9996189024390244,0.9996189024390244,0.0107781440019607,0.1221872940659523,26.0,28.0,1.0769230769230769
ESP_053989_2260,0.8727558901797884,0.8276096092685143,-0.045146280911274,3,0.9995581087052584,0.7802021417624881,0.0063243601471185,0.0834453403949737,57.0,28.0,0.49122807017543857
ESP_055690_2200,0.7885215374454972,0.7481584253463738,-0.0403631120991234,2,0.9995617879053462,0.9910141049450224,0.019909955561161,0.0882477089762687,51.0,28.0,0.5490196078431373
ESP_055055_2255,0.8839945280437755,0.8528877915318142,-0.0311067365119613,1,0.999716151007664,0.0,0.0046841483563184,0.1110358238220214,28.0,27.0,0.9642857142857143
