tile,PRODUCT_ID,incidence
E-48_N40,P02_002009_2242_XN_44N046W,57.11
E-12_N36,P13_006135_2174_XN_37N010W,51.85
E-48_N40,P13_006189_2246_XN_44N045W,56.31
E16_N44,P14_006635_2267_XN_46N343W,52.45
E-48_N44,P15_006967_2281_XN_48N048W,50.11
E4_N40,P15_006965_2224_XN_42N352W,46.86
E-48_N44,P16_007112_2234_XI_43N046W,46.32
E12_N44,P16_007123_2241_XN_44N347W,46.64
E8_N40,P16_007255_2202_XN_40N350W,44.1
E4_N40,P17_007611_2238_XN_43N352W,43.93
E8_N40,P17_007756_2202_XI_40N351W,42.44
E12_N44,P18_007914_2270_XN_47N346W,43.96
E-48_N44,P20_008839_2269_XI_46N046W,42.76
E-8_N32,P20_008864_2167_XN_36N007W,42.53
E0_N40,P21_009101_2208_XN_40N359W,43.06
E-32_N24,P21_009300_2049_XI_24N029W,45.43
E8_N44,P21_009338_2253_XN_45N350W,44.28
E-48_N44,P21_009406_2268_XI_46N047W,44.71
E4_N44,P22_009681_2243_XI_44N355W,45.57
E8_N44,B02_010261_2248_XI_44N348W,51.55
E-8_N32,B04_011277_2168_XN_36N006W,62.24
E12_N44,B04_011329_2241_XI_44N347W,65.67
E12_N44,B05_011685_2274_XI_47N347W,72.44
E-32_N24,B11_014047_2054_XN_25N030W,55.31
E12_N44,B18_016498_2264_XI_46N345W,44.94
E12_N44,B18_016643_2264_XI_46N345W,43.09
E16_N44,B19_016999_2240_XN_44N343W,42.18
E-12_N36,B20_017567_2157_XI_35N009W,41.92
E4_N44,B21_017751_2248_XN_44N355W,42.26
E-44_N28,G01_018544_2131_XN_33N043W,44.61
E4_N44,G02_019030_2250_XI_45N354W,48.86
E-40_N28,G03_019546_2085_XN_28N039W,52.12
E-40_N28,G04_019757_2085_XN_28N039W,54.32
E12_N44,G18_025425_2271_XI_47N346W,43.13
E-28_N28,G19_025532_2122_XN_32N024W,39.47
E-44_N36,G19_025559_2173_XN_37N042W,40.09
E-12_N36,G19_025650_2167_XN_36N009W,37.91
E-44_N36,G19_025770_2207_XN_40N042W,41.06
E0_N40,G20_025953_2199_XN_39N359W,40.26
,G20_025966_2256_XI_45N355W,41.36
E-44_N36,G20_026192_2167_XI_36N043W,40.53
E4_N40,G21_026533_2220_XN_42N354W,40.87
E-52_N40,G22_026746_2219_XN_41N049W,41.44
,G22_026836_2261_XI_46N345W,42.94
E-44_N36,D04_028658_2168_XI_36N043W,56.36
,D04_028735_2267_XI_46N346W,62.02
E4_N40,D05_029144_2242_XN_44N353W,66.53
,D07_029988_2250_XI_45N355W,77.82
E-40_N28,D13_032284_2086_XN_28N039W,48.65
,D18_034339_2267_XI_46N346W,43.98
,D21_035407_2260_XI_46N345W,42.85
E-48_N44,F02_036662_2282_XN_48N048W,50.94
E4_N44,F03_036937_2251_XI_45N355W,54.02
E-52_N40,F03_037084_2219_XN_41N048W,54.58
E-44_N36,F04_037242_2195_XI_39N042W,55.59
,F04_037293_2256_XI_45N355W,58.65
E12_N44,F04_037530_2282_XN_48N345W,62.91
E-40_N20,F06_038086_2037_XN_23N036W,64.33
E20_N-64,F07_038348_1175_XN_62S337W,67.44
E20_N-64,F13_041012_1178_XN_62S338W,58.09
E4_N40,F21_043992_2214_XI_41N353W,39.38
E4_N40,F22_044480_2251_XI_45N352W,42.96
,J01_045113_2257_XI_45N355W,43.27
E12_N44,J01_045139_2268_XI_46N346W,42.66
E4_N40,J02_045535_2217_XI_41N354W,45.56
E4_N40,J03_045878_2226_XI_42N355W,52.91
E4_N40,J04_046168_2212_XI_41N354W,55.41
E-28_N28,J04_046446_2092_XN_29N024W,54.04
E8_N40,J04_046537_2219_XI_41N351W,59.36
E-44_N28,J12_049598_2115_XN_31N043W,53.69
,J19_052088_2271_XN_47N347W,40.57
,J20_052418_2249_XI_44N354W,40.29
,J20_052550_2233_XI_43N359W,39.35
,J21_052946_2164_XI_36N010W,39.41
,K01_053803_2165_XI_36N010W,41.12
,K02_053989_2257_XN_45N046W,45.83
,K02_054000_2257_XN_45N347W,45.67
,K02_054134_2269_XN_46N048W,46.03
,K04_054963_2209_XN_40N358W,54.83
E-48_N40,K04_055123_2233_XN_43N046W,57.97
,K06_055545_2236_XN_43N046W,64.4
