obs_id,PRODUCT_ID,tile,VOLUME_ID
ESP_017355_2260,B19_016999_2240_XN_44N343W,E16_N44,MROX_1042
ESP_017355_2260,P14_006635_2267_XN_46N343W,E16_N44,MROX_0341
ESP_042964_2160,B04_011277_2168_XN_36N006W,E-8_N32,MROX_0732
ESP_042964_2160,P20_008864_2167_XN_36N007W,E-8_N32,MROX_0607
ESP_045139_2270,J01_045139_2268_XI_46N346W,E12_N44,MROX_2515
ESP_045390_2215,F21_043992_2214_XI_41N353W,E4_N40,MROX_2466
ESP_045550_2180,F04_037242_2195_XI_39N042W,E-44_N36,MROX_2199
ESP_045550_2180,G19_025559_2173_XN_37N042W,E-44_N36,MROX_1483
ESP_045878_2235,J03_045878_2226_XI_42N355W,E4_N40,MROX_2566
ESP_045983_2270,B18_016643_2264_XI_46N345W,E12_N44,MROX_0985
ESP_045983_2270,D04_028735_2267_XI_46N346W,E12_N44,MROX_1733
ESP_045983_2270,F04_037530_2282_XN_48N345W,E12_N44,MROX_2225
ESP_046328_2180,D04_028658_2168_XI_36N043W,E-44_N36,MROX_1728
ESP_046328_2180,G20_026192_2167_XI_36N043W,E-44_N36,MROX_1538
ESP_046959_2225,J04_046537_2219_XI_41N351W,E8_N40,MROX_2656
ESP_046959_2225,P16_007255_2202_XN_40N350W,E8_N40,MROX_0426
ESP_046959_2225,P17_007756_2202_XI_40N351W,E8_N40,MROX_0501
ESP_047976_2020,F06_038086_2037_XN_23N036W,E-40_N20,MROX_2269
ESP_048688_2085,D13_032284_2086_XN_28N039W,E-40_N28,MROX_1842
ESP_048688_2085,G03_019546_2085_XN_28N039W,E-40_N28,MROX_1232
ESP_048688_2085,G04_019757_2085_XN_28N039W,E-40_N28,MROX_1244
ESP_049242_2115,G01_018544_2131_XN_33N043W,E-44_N28,MROX_1183
ESP_049242_2115,J12_049598_2115_XN_31N043W,E-44_N28,MROX_2860
ESP_051943_2270,B05_011685_2274_XI_47N347W,E12_N44,MROX_0749
ESP_051943_2270,J01_045139_2268_XI_46N346W,E12_N44,MROX_2515
ESP_051943_2270,J19_052088_2271_XN_47N347W,E12_N44,MROX_2946
ESP_052576_2250,B02_010261_2248_XI_44N348W,E8_N44,MROX_0701
ESP_053989_2260,K02_053989_2257_XN_45N046W,E-48_N44,MROX_3034
ESP_053989_2260,P16_007112_2234_XI_43N046W,E-48_N44,MROX_0406
ESP_053989_2260,P20_008839_2269_XI_46N046W,E-48_N44,MROX_0605
ESP_053989_2260,P21_009406_2268_XI_46N047W,E-48_N44,MROX_0646
ESP_054000_2255,B04_011329_2241_XI_44N347W,E12_N44,MROX_0733
ESP_054000_2255,K02_054000_2257_XN_45N347W,E12_N44,MROX_3034
ESP_054000_2255,P16_007123_2241_XN_44N347W,E12_N44,MROX_0407
ESP_054134_2265,F02_036662_2282_XN_48N048W,E-48_N44,MROX_2132
ESP_054134_2265,K02_054134_2269_XN_46N048W,E-48_N44,MROX_3039
ESP_054134_2265,P15_006967_2281_XN_48N048W,E-48_N44,MROX_0387
ESP_054397_2105,G19_025532_2122_XN_32N024W,E-28_N28,MROX_1480
ESP_054397_2105,J04_046446_2092_XN_29N024W,E-28_N28,MROX_2642
ESP_054622_2240,F03_037084_2219_XN_41N048W,E-52_N40,MROX_2181
ESP_054622_2240,G22_026746_2219_XN_41N049W,E-52_N40,MROX_1597
ESP_055017_2055,B11_014047_2054_XN_25N030W,E-32_N24,MROX_0860
ESP_055017_2055,P21_009300_2049_XI_24N029W,E-32_N24,MROX_0638
ESP_055055_2255,P21_009338_2253_XN_45N350W,E8_N44,MROX_0641
ESP_055253_2245,B21_017751_2248_XN_44N355W,E4_N44,MROX_1134
ESP_055253_2245,D07_029988_2250_XI_45N355W,E4_N44,MROX_1784
ESP_055253_2245,F03_036937_2251_XI_45N355W,E4_N44,MROX_2165
ESP_055253_2245,F04_037293_2256_XI_45N355W,E4_N44,MROX_2205
ESP_055253_2245,G02_019030_2250_XI_45N354W,E4_N44,MROX_1206
ESP_055253_2245,G20_025966_2256_XI_45N355W,E4_N44,MROX_1518
ESP_055253_2245,J01_045113_2257_XI_45N355W,E4_N44,MROX_2513
ESP_055253_2245,J20_052418_2249_XI_44N354W,E4_N44,MROX_2956
ESP_055253_2245,P22_009681_2243_XI_44N355W,E4_N44,MROX_0665
ESP_055690_2200,F04_037242_2195_XI_39N042W,E-44_N36,MROX_2199
ESP_055690_2200,G19_025770_2207_XN_40N042W,E-44_N36,MROX_1500
ESP_055978_2270,B18_016498_2264_XI_46N345W,E12_N44,MROX_0967
ESP_055978_2270,D04_028735_2267_XI_46N346W,E12_N44,MROX_1733
ESP_055978_2270,D18_034339_2267_XI_46N346W,E12_N44,MROX_1925
ESP_055978_2270,F04_037530_2282_XN_48N345W,E12_N44,MROX_2225
ESP_055978_2270,G22_026836_2261_XI_46N345W,E12_N44,MROX_1606
ESP_059421_2170,B20_017567_2157_XI_35N009W,E-12_N36,MROX_1115
ESP_059421_2170,G19_025650_2167_XN_36N009W,E-12_N36,MROX_1491
ESP_059421_2170,J21_052946_2164_XI_36N010W,E-12_N36,MROX_2971
ESP_059421_2170,K01_053803_2165_XI_36N010W,E-12_N36,MROX_3026
ESP_059421_2170,P13_006135_2174_XN_37N010W,E-12_N36,MROX_0275
ESP_059686_2235,P02_002009_2242_XN_44N046W,E-48_N40,MROX_0032
ESP_059686_2235,P13_006189_2246_XN_44N045W,E-48_N40,MROX_0290
ESP_063429_2240,F22_044480_2251_XI_45N352W,E4_N40,MROX_2485
ESP_063429_2240,P17_007611_2238_XN_43N352W,E4_N40,MROX_0475
ESP_064510_2260,B18_016643_2264_XI_46N345W,E12_N44,MROX_0985
ESP_064510_2260,D21_035407_2260_XI_46N345W,E12_N44,MROX_1995
ESP_064510_2260,G18_025425_2271_XI_47N346W,E12_N44,MROX_1470
ESP_064510_2260,G22_026836_2261_XI_46N345W,E12_N44,MROX_1606
ESP_066634_2210,K04_054963_2209_XN_40N358W,E0_N40,MROX_3078
ESP_068402_2240,D05_029144_2242_XN_44N353W,E4_N40,MROX_1754
ESP_068402_2240,P15_006965_2224_XN_42N352W,E4_N40,MROX_0387
ESP_068402_2240,P17_007611_2238_XN_43N352W,E4_N40,MROX_0475
ESP_068483_2280,P20_008839_2269_XI_46N046W,E-48_N44,MROX_0605
ESP_069669_2220,G20_025953_2199_XN_39N359W,E0_N40,MROX_1517
ESP_069669_2220,J20_052550_2233_XI_43N359W,E0_N40,MROX_2960
ESP_069669_2220,P21_009101_2208_XN_40N359W,E0_N40,MROX_0624
ESP_069763_2235,K04_055123_2233_XN_43N046W,E-48_N40,MROX_3091
ESP_069763_2235,K06_055545_2236_XN_43N046W,E-48_N40,MROX_3128
ESP_069763_2235,P02_002009_2242_XN_44N046W,E-48_N40,MROX_0032
ESP_071093_2210,K04_054963_2209_XN_40N358W,E0_N40,MROX_3078
ESP_071699_2260,G18_025425_2271_XI_47N346W,E12_N44,MROX_1470
ESP_071699_2260,J01_045139_2268_XI_46N346W,E12_N44,MROX_2515
ESP_071699_2260,P18_007914_2270_XN_47N346W,E12_N44,MROX_0524
ESP_076499_1160,F07_038348_1175_XN_62S337W,E20_N-64,MROX_2283
ESP_076499_1160,F13_041012_1178_XN_62S338W,E20_N-64,MROX_2379
ESP_076565_2215,G21_026533_2220_XN_42N354W,E4_N40,MROX_1571
ESP_076565_2215,J02_045535_2217_XI_41N354W,E4_N40,MROX_2540
ESP_076565_2215,J04_046168_2212_XI_41N354W,E4_N40,MROX_2600
ESP_076723_2265,J01_045139_2268_XI_46N346W,E12_N44,MROX_2515
