obs_id,base,f_w,d_auc,dn_iqr,dn_med
ESP_053989_2260,0.8727558901797884,0.18677143506198482,-0.6859844551178036,10.0,5.0
ESP_054622_2240,0.8043407733221033,0.6376413519878963,-0.166699421334207,15.0,37.0
ESP_047976_2020,0.8851874615857407,0.721880762138906,-0.16330669944683474,10.0,68.0
ESP_048688_2085,0.7502621722846442,0.6286142322097378,-0.12164794007490642,11.0,20.0
ESP_045983_2270,0.5712610197453215,0.4585388347568066,-0.11272218498851488,8.0,65.0
ESP_046328_2180,0.7518130426854073,0.6525045939766303,-0.09930844870877698,16.0,45.0
ESP_054397_2105,0.7107516121859019,0.6114687569490771,-0.09928285523682479,35.0,48.0
ESP_069669_2220,0.6900429887869978,0.6103341452190407,-0.07970884356795704,10.0,52.0
ESP_064510_2260,0.7659130230785021,0.7076317410046625,-0.058281282073839535,18.0,81.0
ESP_055690_2200,0.7885215374454972,0.737516269797475,-0.05100526764802227,13.0,44.0
ESP_055017_2055,0.7552616033755274,0.7199324894514768,-0.03532911392405058,10.0,45.0
ESP_049242_2115,0.7393826783716018,0.7065149094303718,-0.03286776894123,3.0,87.0
ESP_054134_2265,0.7859680257250333,0.7560951340856692,-0.02987289163936413,7.0,23.0
ESP_055055_2255,0.8839945280437755,0.8599523984295929,-0.024042129614182617,10.0,69.0
ESP_068402_2240,0.7860376580320744,0.7658455079498527,-0.020192150082221638,12.0,52.0
ESP_017355_2260,0.8057105659494141,0.7897749886507093,-0.015935577298704873,10.0,92.0
ESP_042964_2160,0.87963904556776,0.8671222811040017,-0.012516764463758268,13.0,136.0
ESP_076723_2265,0.8669215023916719,0.8549048045295746,-0.012016697862097248,7.0,73.0
ESP_071699_2260,0.8160681697029128,0.8042144862382369,-0.011853683464675968,30.0,79.0
ESP_045139_2270,0.908238529919019,0.9053839282122667,-0.0028546017067523355,8.0,77.0
ESP_051943_2270,0.8988090469705466,0.9062351464658602,0.007426099495313587,10.0,70.0
ESP_045878_2235,0.8723482515759888,0.8811385190742255,0.008790267498236637,12.0,79.0
ESP_076565_2215,0.6889785332232472,0.6985856337724811,0.00960710054923386,8.0,87.0
ESP_045550_2180,0.783886175024977,0.7969821721733281,0.01309599714835108,9.0,33.0
ESP_045390_2215,0.8318098282444273,0.8462853885616568,0.014475560317229519,11.0,86.0
ESP_069763_2235,0.713251033691416,0.7590915385680652,0.04584050487664926,7.0,20.0
ESP_063429_2240,0.7172513029767726,0.7634275953691403,0.046176292392367646,13.0,62.0
ESP_059421_2170,0.7163381991393456,0.7836953934834866,0.067357194344141,12.0,108.0
ESP_059686_2235,0.671376764006246,0.7398055004552093,0.0684287364489633,58.0,19.0
ESP_076499_1160,0.8487743164942957,0.9199603568919447,0.07118604039764898,12.0,38.0
ESP_052576_2250,0.8251559021414251,0.9103259173615014,0.08517001522007628,13.0,78.0
ESP_054000_2255,0.6699737142290334,0.7614090165153995,0.0914353022863661,10.0,91.0
ESP_046959_2225,0.8425997025986057,0.95320529228219,0.11060558968358425,8.0,108.0
ESP_055978_2270,0.7957031860065594,0.9271689052006872,0.13146571919412775,8.0,71.0
ESP_068483_2280,0.6108332475023175,0.8001853949943352,0.18935214749201768,7.0,24.0
ESP_055253_2245,0.46539278725188704,0.666692759295499,0.20129997204361194,9.0,29.0
