pair,n,d_inc,d_orbit,raw_absratio,minn_absratio,pred_absdiff
J02~P22,77692,0.3200000000000003,35933,0.0317,0.035,0.1253
P18~P21,29769,1.161999999999999,1292,0.0646,0.0527,0.1124
P21~P22,1357,1.658999999999999,211,0.0101,0.008,0.205
J02~P21,14745,1.8689999999999998,36289,0.0558,0.0377,0.3662
P21~P22,15199,2.189,356,0.0327,0.0098,0.205
P18~P22,3385,2.820999999999998,1503,0.0817,0.0517,0.2601
F02~P22,9620,4.969000000000001,27190,0.1668,0.1181,0.17
F02~P21,22830,6.628,27401,0.1709,0.1076,0.2915
B03~F02,9495,6.9510000000000005,26056,0.0413,0.1492,0.5749
F02~P18,45551,7.789999999999999,28693,0.2225,0.1536,0.3776
B03~P22,5646,11.39,989,0.1342,0.0073,0.0904
B03~J02,4659,11.71,34944,0.1019,0.0468,0.041
B03~P22,6325,11.920000000000002,1134,0.1348,0.0108,0.0904
B03~P21,8206,13.579,1345,0.1533,0.0081,0.2044
B03~P18,3765,14.741,2637,0.2005,0.0395,0.0503
