PRODUCT_ID,VOLUME_ID,EMISSION,INCIDENCE,IMAGE_TIME,edr_url,overlap_frac,source,http,size_mb,pds3
P22_009694_2267_XN_46N350W,MROX_0666,0.0898,46.469,2008-08-20T20:54:46.191,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0666/data/P22_009694_2267_XN_46N350W.IMG,0.3160653064779157,E8_N44_a1_crop,206,264.0,True
P21_009338_2253_XN_45N350W,MROX_0641,0.0898,44.28,2008-07-24T03:07:38.855,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0641/data/P21_009338_2253_XN_45N350W.IMG,0.3037035072838007,E8_N44_a1_crop,206,264.0,True
B03_010683_2290_XI_49N351W,MROX_0721,2.9199,57.859,2008-11-05T22:30:24.425,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0721/data/B03_010683_2290_XI_49N351W.IMG,0.13256773813856462,E8_N44_a1_crop,206,129.4,True
P18_008046_2253_XN_45N350W,MROX_0542,0.0898,43.118,2008-04-14T10:28:50.555,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0542/data/P18_008046_2253_XN_45N350W.IMG,0.11071379860940676,E8_N44_a1_crop,206,264.0,True
F02_036739_2274_XN_47N351W,MROX_2141,9.6097,50.908,2014-05-29T06:07:13.932,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_2141/data/F02_036739_2274_XN_47N351W.IMG,0.06451316414055727,E8_N44_a1_crop,206,145.0,True
P22_009549_2289_XN_48N351W,MROX_0655,0.08,45.939,2008-08-09T13:45:34.850,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0655/data/P22_009549_2289_XN_48N351W.IMG,0.03701919818732102,E8_N44_a1_crop,206,119.1,True
J02_045627_2256_XI_45N349W,MROX_2547,29.0,46.149,2016-04-20T18:09:43.728,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_2547/data/J02_045627_2256_XI_45N349W.IMG,0.029202700502665598,E8_N44_a1_crop,206,258.9,True
P17_007835_2249_XN_44N349W,MROX_0514,0.0898,43.539,2008-03-28T23:49:02.094,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0514/data/P17_007835_2249_XN_44N349W.IMG,0.0,era_extreme,206,160.5,True
P18_007901_2250_XN_45N351W,MROX_0523,0.0898,43.38,2008-04-03T03:15:53.582,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0523/data/P18_007901_2250_XN_45N351W.IMG,0.0,era_extreme,206,233.0,True
K04_055121_2218_XN_41N351W,MROX_3091,1.57,57.27,2018-04-30T13:43:28.714,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_3091/data/K04_055121_2218_XN_41N351W.IMG,0.0,era_extreme,206,139.8,True
