product_id,edr_mb,t_download,t_import,t_spiceinit,t_ctxcal,t_evenodd,t_cam2map,t_total,map_mb,status
P22_009694_2267_XN_46N350W,264.0,11.196103007,20.823475648,33.716342258,6.308548084,5.625664829,1618.041789932,1695.742997568,4826.4,ok
P21_009338_2253_XN_45N350W,264.0,7.511818686,14.123682019,15.443483749,6.603412733,5.641344432,1700.083788472,1749.437190533,4675.5,ok
B03_010683_2290_XI_49N351W,129.4,13.868254977,7.268739668,11.376030624,3.813428321,3.452662827,883.662921191,923.472484813,1777.2,ok
P18_008046_2253_XN_45N350W,264.0,15.104079110,14.138729749,15.368793326,6.129291465,5.588215661,1526.559628719,1582.918578077,4677.5,ok
F02_036739_2274_XN_47N351W,144.9,3.715617610,8.444003581,12.159864081,3.965256167,3.696316234,1036.264086938,1068.278369634,2186.7,ok
P22_009549_2289_XN_48N351W,119.0,6.222220704,6.942609622,12.000113338,3.531190451,3.432022745,762.448056792,794.605781437,1605.5,ok
J02_045627_2256_XI_45N349W,258.8,5.728500638,14.366067368,14.804302045,6.095124823,5.546228645,1983.533486850,2030.102890569,6164.5,ok
P17_007835_2249_XN_44N349W,160.5,4.824322162,9.075153756,12.872659027,4.165541432,3.791551713,1028.032264993,1062.792556870,2222.7,ok
P18_007901_2250_XN_45N351W,232.9,6.453695480,12.483607815,14.319866567,5.542363518,5.173488062,1318.425751213,1362.430590417,3847.2,ok
K04_055121_2218_XN_41N351W,139.7,3.829947744,8.464079361,15.491347268,3.875127222,3.438633273,922.739080986,957.867507120,3780.2,ok
