poly,Unit,UnitDesc,area_km2,n_cells,ab_sum,praw_sum,rich_sum,ab_zero_frac,ab_p50,praw_p50,ab_p75,praw_p75,ab_p90,praw_p90,ab_p99,praw_p99,ab_mean,praw_mean,rich_mean
0,Hto,Hesperian transition outflow unit,297.93343455768166,11622,12.802579294776024,771.1748280868051,41.0,0.4608501118568233,0.00019531250291038305,0.024464021436870098,0.0010546875419095159,0.07621216587722301,0.0033593750558793545,0.1928416237235069,0.010725781265646146,0.47938002854585443,0.0011015814227134765,0.06635474342512519,0.0035277921183961454
1,lNh,Late Noachian highland unit,39888.15004658857,1554660,983.6854512580187,68193.91081646128,3316.0,0.5292366176527343,0.0,0.018636666238307953,0.0006249999860301614,0.04946050699800253,0.0016831731889397081,0.11091643199324616,0.007617187686264515,0.3567155957221959,0.0006327334923764802,0.04386419591194299,0.0021329422510388122
2,mNh,Middle Noachian highland unit,95759.59708738439,3728323,790.5247772794644,67421.0672131713,2915.0,0.8065725528608975,0.0,0.005247593857347965,0.0,0.01513548893854022,0.0005078124813735485,0.04139907136559489,0.003867187537252903,0.21331910461187348,0.00021203226686085524,0.01808348343562811,0.0007818528598514667
3,eNh,Early Noachian highland unit,277890.4959027098,10809466,2817.871055549958,227484.21597830864,10905.0,0.7715014784264088,0.0,0.006064069224521518,0.0,0.0184850855730474,0.0006640625069849193,0.04991808719933033,0.004570312332361937,0.24250294268131134,0.00026068550061121966,0.021044907859306707,0.0010088379944023136
4,AHi,Amazonian and Hesperian impact unit,14433.192753150912,557968,125.6003900651017,11693.75638312029,249.0,0.7461270180368766,0.0,0.0090166418813169,7.812499825377017e-05,0.021065666805952787,0.0005859375232830644,0.046734432876110066,0.0035156249068677425,0.19933065712451933,0.0002251032139210523,0.020957754536318013,0.00044626215123447937
5,eHt,Early Hesperian transition unit,63470.12637991436,2468937,2237.44863231733,138848.0033902782,14350.0,0.49203361608659923,7.812499825377017e-05,0.021413110196590424,0.0008203124743886292,0.061288509517908096,0.0023942293133586527,0.14731065034866322,0.010898437350988388,0.48580872893333515,0.0009062396619749026,0.05623796937316675,0.005812217970729914
6,HNt,Hesperian and Noachian transition unit,48159.57527944163,1870024,1035.2835484702591,74529.04170767416,2678.0,0.5512357060658045,0.0,0.01736786775290966,0.0005468750023283064,0.04396882466971874,0.0014843749813735485,0.09939313530921935,0.006757812574505806,0.32425138801336295,0.0005536204607375409,0.03985459101470043,0.0014320671820254713
7,lNh,Late Noachian highland unit,44112.46039340921,1716769,312.67233818361524,24068.586616320612,1217.0,0.88891982555603,0.0,0.002538112923502922,0.0,0.006954879034310579,0.00019531250291038305,0.024089512601494768,0.0045312498696148396,0.24212264060974154,0.00018212836915369233,0.014019700155536715,0.000708889780745109
8,mNh,Middle Noachian highland unit,33215.95927221115,1293175,84.83090555482045,12182.368615135985,215.0,0.901202080151565,0.0,0.003981639165431261,0.0,0.009345935191959143,0.0,0.02055090516805649,0.0012499999720603228,0.08670260086655619,6.55989371545386e-05,0.009420510460792998,0.00016625746708682118
9,AHi,Amazonian and Hesperian impact unit,18798.88882065307,731565,40.76199166479128,5728.931287796951,34.0,0.9125518580030483,0.0,0.0025494073051959276,0.0,0.006990713533014059,0.0,0.018423879146575926,0.0011718750465661287,0.08197631746530532,5.571889259982542e-05,0.007831062568325373,4.6475706191520915e-05
10,lNh,Late Noachian highland unit,5439.342075999688,212480,66.45338575147628,5344.418531312451,192.0,0.705675828313253,0.0,0.008822828996926546,0.00023437499476131052,0.025473847519606352,0.0008203124743886292,0.061643922328949,0.004648437723517418,0.24589806124567976,0.0003127512507128966,0.02515257215414369,0.0009036144578313253
11,eNh,Early Noachian highland unit,19012.72153376164,742687,312.59569197631754,25100.30562688568,619.0,0.5526379214931728,0.0,0.0176828745752573,0.00046874998952262104,0.039159735664725304,0.0010937500046566129,0.07753597795963292,0.004765625111758709,0.25131021320819863,0.00042089829494298075,0.033796613683672504,0.0008334601251940588
12,Nhu,Noachian highland undivided unit,48852.46621182428,1905068,1015.6229247816698,70060.86930473927,5043.0,0.6317889965082611,0.0,0.012039116583764553,0.00042968749767169356,0.03583367448300123,0.0013671874767169356,0.09317162632942204,0.007929687388241291,0.3697077676653863,0.0005331163637107283,0.036776046474319694,0.0026471496030587884
13,eHt,Early Hesperian transition unit,125690.84982059886,4744276,4070.5007928712093,258981.76497122174,20404.0,0.4849348983912403,0.00011718749738065526,0.021962939761579037,0.0008203124743886292,0.06072237994521856,0.0023302899207919836,0.14339783042669296,0.009648437611758709,0.4393000230193138,0.0008579814481432382,0.05458825856067854,0.0043007615914419815
14,mNh,Middle Noachian highland unit,28021.26890978765,1093110,141.3923760764395,16115.260944320155,145.0,0.8204919907420113,0.0,0.0065189846791327,0.0,0.015219498658552766,0.0003906250058207661,0.0331436052918434,0.0021093750838190317,0.13233936294913223,0.00012934871703345453,0.014742579378397559,0.00013264904721391259
15,lHt,Late Hesperian transition unit,39453.96096210283,1537408,1221.887555020357,76923.50784116748,9369.0,0.5475091842894014,0.0,0.017267322167754173,0.0006249999860301614,0.0494789881631732,0.002031249925494194,0.12858889549970628,0.010937499813735485,0.48680508315563176,0.0007947711700604895,0.05003454375232045,0.006094023187078511
16,eHt,Early Hesperian transition unit,23682.195837876003,919803,146.3771782991554,14565.088918264171,633.0,0.8303038802874094,0.0,0.006223504431545734,0.0,0.01439316151663661,0.0003515625139698386,0.03228352591395378,0.003007812425494194,0.17534506261348726,0.00015913970524031274,0.01583500914681097,0.0006881908408648374
17,AHi,Amazonian and Hesperian impact unit,9780.687967371825,380606,173.51707236621678,12258.285233438663,865.0,0.6774328308014061,0.0,0.009586016181856394,0.0003124999930150807,0.029908332973718643,0.0011718750465661287,0.08115733414888382,0.0072685044258833055,0.3440075784921648,0.00045589683916232737,0.032207283210035215,0.0022726914446960897
19,AHi,Amazonian and Hesperian impact unit,51987.42896155955,1318382,109.00748641497448,12059.110028550858,202.0,0.9161563188817808,0.0,0.0026624478632584214,0.0,0.0068514622980728745,0.0,0.01751889903098346,0.001953125,0.12435555852949504,8.268277814394802e-05,0.009146901299130948,0.0001532181112909612
23,lNh,Late Noachian highland unit,216322.8684673887,265098,791.5012289490307,41974.42240511884,6104.0,0.05045681219775328,0.0017578124534338713,0.11336313933134079,0.0037109374534338713,0.20806996524333954,0.00749141606502237,0.35218044221401235,0.016523437574505806,0.6602455157041522,0.002985692947321484,0.15833549255414542,0.02302544719311349
27,AHi,Amazonian and Hesperian impact unit,15184.740133464296,591134,63.07506920447139,7506.854333037914,94.0,0.8434466635314497,0.0,0.005103664938360453,0.0,0.013128447579219937,0.0003124999930150807,0.02964640166610484,0.0017187499906867743,0.1129379985481502,0.0001067018124561798,0.012699073869948124,0.0001590163989890617
