PRODUCT_ID,kind,n_windows,ln_med_range,ln_med_std,frame_ln_med,windows
B03_010683_2290_XI_49N351W,pilot_3x3,2,0.0142,0.0071,-2.376,
F02_036739_2274_XN_47N351W,pilot_3x3,3,0.0189,0.008,-2.422,
J02_045627_2256_XI_45N349W,pilot_3x3,5,0.0206,0.007,-2.2531,
P18_008046_2253_XN_45N350W,pilot_3x3,3,0.0127,0.0052,-2.1658,
P21_009338_2253_XN_45N350W,pilot_3x3,8,0.0397,0.0143,-2.2057,
P22_009694_2267_XN_46N350W,pilot_3x3,5,0.0199,0.007,-2.2198,
J01_045139_2268_XI_46N346W,cross_crop,4,0.0273,0.0102,-2.1688,ESP_045139_2270;ESP_051943_2270;ESP_071699_2260;ESP_076723_2265
F04_037242_2195_XI_39N042W,cross_crop,2,0.0087,0.0044,-2.5003,ESP_045550_2180;ESP_055690_2200
B18_016643_2264_XI_46N345W,cross_crop,2,0.0316,0.0158,-2.1511,ESP_045983_2270;ESP_064510_2260
F04_037530_2282_XN_48N345W,cross_crop,2,0.0251,0.0125,-2.4671,ESP_045983_2270;ESP_055978_2270
P20_008839_2269_XI_46N046W,cross_crop,2,0.0164,0.0082,-2.3979,ESP_053989_2260;ESP_068483_2280
P21_009338_2253_XN_45N350W,cross_crop,2,0.0073,0.0036,-2.2016,ESP_055055_2255;pilot_E8_N44
P02_002009_2242_XN_44N046W,cross_crop,2,0.023,0.0115,-2.5994,ESP_059686_2235;ESP_069763_2235
P17_007611_2238_XN_43N352W,cross_crop,2,0.0224,0.0112,-2.2373,ESP_063429_2240;ESP_068402_2240
G18_025425_2271_XI_47N346W,cross_crop,2,0.0564,0.0282,-2.1138,ESP_064510_2260;ESP_071699_2260
