obs_id,offset_logit
ESP_017355_2260,-0.0753
ESP_042964_2160,-0.0753
ESP_045550_2180,-0.386
ESP_045983_2270,0.2738
ESP_046328_2180,-0.0753
ESP_046959_2225,-0.0753
ESP_048688_2085,-0.0753
ESP_049242_2115,-0.0753
ESP_051943_2270,-0.9276
ESP_053989_2260,-0.0753
ESP_054000_2255,-0.0753
ESP_054134_2265,-0.0753
ESP_054397_2105,-0.0753
ESP_054622_2240,-0.0753
ESP_055017_2055,-0.0753
ESP_055253_2245,-0.0753
ESP_055690_2200,-0.4579
ESP_055978_2270,0.7295
ESP_059421_2170,-0.0753
ESP_059686_2235,0.1448
ESP_063429_2240,-0.0701
ESP_064510_2260,-0.0531
ESP_068402_2240,-0.1262
ESP_069669_2220,-0.0753
ESP_069763_2235,-0.9617
ESP_071699_2260,-0.275
ESP_076499_1160,-0.0753
ESP_076565_2215,-0.0753
