obs_id,n_frames,offset_std
ESP_059686_2235,2,1.553
ESP_069669_2220,2,1.359
ESP_053989_2260,3,1.161
ESP_045550_2180,2,1.076
ESP_055690_2200,2,1.004
ESP_054397_2105,2,0.953
ESP_017355_2260,2,0.883
ESP_048688_2085,3,0.827
ESP_046959_2225,3,0.712
ESP_059421_2170,3,0.45
ESP_069763_2235,2,0.446
ESP_076565_2215,3,0.441
ESP_045983_2270,2,0.404
ESP_055253_2245,4,0.399
ESP_071699_2260,3,0.389
ESP_055017_2055,2,0.34
ESP_068402_2240,3,0.251
ESP_042964_2160,2,0.215
ESP_076499_1160,2,0.207
ESP_054622_2240,2,0.186
ESP_049242_2115,2,0.161
ESP_046328_2180,2,0.159
ESP_063429_2240,2,0.148
ESP_054000_2255,2,0.134
ESP_051943_2270,2,0.102
ESP_064510_2260,2,0.078
ESP_054134_2265,2,0.051
ESP_055978_2270,2,0.051
