mapping,head,composite,eta2,n_cells,n_frames
affine,base,partition,0.3509,216793,7
affine,base,partition_eroded,0.3515,215003,7
affine,base,median,0.2816,216801,7
affine,a1,partition,0.3497,216793,7
affine,a1,partition_eroded,0.3503,215003,7
affine,a1,median,0.3036,216801,7
lambert,base,partition,0.4028,216793,7
lambert,base,partition_eroded,0.4034,215003,7
lambert,base,median,0.3464,216801,7
lambert,a1,partition,0.348,216793,7
lambert,a1,partition_eroded,0.3485,215003,7
lambert,a1,median,0.3172,216801,7
minnaert,base,partition,0.3708,216793,7
minnaert,base,partition_eroded,0.3719,215003,7
minnaert,base,median,0.3188,216801,7
minnaert,a1,partition,0.3639,216793,7
minnaert,a1,partition_eroded,0.3648,215003,7
minnaert,a1,median,0.3243,216801,7
perframe,base,partition,0.2566,216793,7
perframe,base,partition_eroded,0.2569,215003,7
perframe,base,median,0.2333,216801,7
perframe,a1,partition,0.2638,216793,7
perframe,a1,partition_eroded,0.2643,215003,7
perframe,a1,median,0.2526,216801,7
