pair,n,median_ratio,med_absdev_pct,corr
B03_010683_229 ~ F02_036739_227,9495,1.041310429573059,4.131042957305908,0.8587206702123484
B03_010683_229 ~ J02_045627_225,4659,0.8981376886367798,10.18623161315918,0.8180215389044777
B03_010683_229 ~ P18_008046_225,3765,0.7994952201843262,20.050477981567383,0.8452194911424867
B03_010683_229 ~ P21_009338_225,8206,0.8467053174972534,15.329471588134766,0.8740887130986247
B03_010683_229 ~ P22_009549_228,6325,0.8652031421661377,13.47968578338623,0.9430385586475568
B03_010683_229 ~ P22_009694_226,5646,0.8657605051994324,13.423949241638184,0.8629925187492794
F02_036739_227 ~ P18_008046_225,45551,0.7774972319602966,22.250276565551758,0.8766124813424195
F02_036739_227 ~ P21_009338_225,22830,0.8290731310844421,17.092687606811523,0.8336133792112538
F02_036739_227 ~ P22_009549_228,9620,0.8332048058509827,16.679519653320312,0.8195403790178378
J02_045627_225 ~ P21_009338_225,14745,0.9441764950752258,5.582749843597412,0.7560839697492254
J02_045627_225 ~ P22_009694_226,77692,0.9682903289794922,3.1732826232910156,0.5634008552206248
P18_008046_225 ~ P21_009338_225,29769,1.0645664930343628,6.456649303436279,0.938568964649831
P18_008046_225 ~ P22_009549_228,3385,1.0816751718521118,8.167516708374023,0.9262184642465968
P21_009338_225 ~ P22_009549_228,1357,1.0097662210464478,1.011967658996582,0.8149772284090018
P21_009338_225 ~ P22_009694_226,15199,1.0327361822128296,3.273618221282959,0.9799333017701013
