mapping,head,kind,pair,n,median_absdiff,corr
minnaert_center,f_wl,pred,B03~F02,9575,0.1566,-0.009
minnaert_center,f_wl,pred,B03~J02,4771,0.0158,0.23
minnaert_center,f_wl,pred,B03~P18,3870,0.0201,0.141
minnaert_center,f_wl,pred,B03~P21,8451,0.0928,0.184
minnaert_center,f_wl,pred,B03~P22,6415,0.1137,0.047
minnaert_center,f_wl,pred,B03~P22,5714,0.0408,0.321
minnaert_center,f_wl,pred,F02~P18,45212,0.1104,0.41
minnaert_center,f_wl,pred,F02~P21,23067,0.1072,0.387
minnaert_center,f_wl,pred,F02~P22,9502,0.0715,0.402
minnaert_center,f_wl,pred,J02~P21,15030,0.1186,0.246
minnaert_center,f_wl,pred,J02~P22,77367,0.0572,0.441
minnaert_center,f_wl,pred,P18~P21,30011,0.0458,0.45
minnaert_center,f_wl,pred,P18~P22,3409,0.07,0.453
minnaert_center,f_wl,pred,P21~P22,1413,0.0753,0.396
minnaert_center,f_wl,pred,P21~P22,15463,0.0733,0.516
-,-,IF,B03~F02,9495,0.0413,0.859
-,-,IF,B03~J02,4659,0.1019,0.818
-,-,IF,B03~P18,3765,0.2005,0.845
-,-,IF,B03~P21,8206,0.1533,0.874
-,-,IF,B03~P22,6325,0.1348,0.943
-,-,IF,B03~P22,5646,0.1342,0.863
-,-,IF,F02~P18,45230,0.2225,0.877
-,-,IF,F02~P21,22696,0.171,0.834
-,-,IF,F02~P22,9620,0.1668,0.82
-,-,IF,J02~P21,14689,0.0559,0.756
-,-,IF,J02~P22,76532,0.0318,0.565
-,-,IF,P18~P21,29606,0.0646,0.937
-,-,IF,P18~P22,3385,0.0817,0.926
-,-,IF,P21~P22,1357,0.0101,0.815
-,-,IF,P21~P22,15123,0.0327,0.98
