obs_id,n,marginal_l1,top_ratio
ESP_017355_2260,13457,0.007456077532834697,0.7987513840169789
ESP_042964_2160,2564,0.0009524803502159591,0.8754210403564106
ESP_045139_2270,6293,0.04672859923749595,3.0571673084506545
ESP_045390_2215,2538,0.0022711251637238515,0.7224007871209495
ESP_045550_2180,3019,0.0048584215650797034,0.8446336432258225
ESP_045878_2235,7313,0.0012307828878908417,0.4614268345114163
ESP_045983_2270,2468,0.004889550454404262,0.037412415778370456
ESP_046328_2180,1869,0.0038449174652842796,0.4014715221417162
ESP_046959_2225,4156,0.007232028707957846,0.2728473956772277
ESP_047976_2020,3259,0.0035291010693831084,0.7088757396449704
ESP_048688_2085,1370,0.0018397098441337641,0.2563979484815615
ESP_049242_2115,2420,0.005853991336633661,0.00019398781469134378
ESP_051943_2270,2711,0.0009344675148134801,0.6009996622310189
ESP_052576_2250,4755,0.005064416648543155,0.8573639981471318
ESP_053989_2260,2761,0.02775868689181926,1.3684737669746794
ESP_054000_2255,3535,0.006446029556388803,0.09724133715571874
ESP_054134_2265,3611,0.02045111381844849,0.5840629103102047
ESP_054397_2105,6086,0.002068490340395311,0.3471654082149611
ESP_054622_2240,5099,0.01418805021461264,0.7511211394255703
ESP_055017_2055,3079,0.0023399786826294134,0.014713092472126096
ESP_055055_2255,4397,0.0007096096862970425,0.5294657896132213
ESP_055253_2245,2596,0.0018595006245906893,0.11932418938791986
ESP_055690_2200,4916,0.002792564256116165,0.7102782842082784
ESP_055978_2270,5487,0.0030030134385560362,1.6237294894167713
ESP_059421_2170,4570,0.0036863143561916365,0.832011475940698
ESP_059686_2235,4355,0.030717758235499673,1.8742747188160125
ESP_063429_2240,2102,0.01603338046622486,0.141719550572145
ESP_064510_2260,4503,0.002725859321988057,0.3303795922706818
ESP_068402_2240,5936,0.0027975969006958385,0.36385785321864
ESP_068483_2280,5297,0.01788185593547458,0.4409441412872108
ESP_069669_2220,4428,0.006782085866448033,0.33930143914596694
ESP_069763_2235,4309,0.013174300268537033,0.7246460207922202
ESP_071699_2260,3012,0.004471414031274728,1.0357089686348773
ESP_076499_1160,6607,0.025111314786430753,0.04204864546202794
ESP_076565_2215,2449,0.007903765902049682,1.1288680464538312
ESP_076723_2265,6336,0.004599906023362223,1.0102943706358276
