row,tile,scope,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,raw_coverage,common_mask_frac
mosaic,E-12_N32,tile,2156794,71,0.18419576102906457,0.04756738182092789,0.06321810570065838,0.1366283792081367,2.9136551781738422,1.0,0.9859895649756953
F_h1only,E-12_N32,tile,2156794,71,0.27686227349856457,0.1719442686291987,0.19428846223092125,0.10491800486936587,1.425006252658999,0.9859895649756953,0.9859895649756953
F_full,E-12_N32,tile,2156794,71,0.06158238957528338,0.023829433168037796,0.04489150901256043,0.03775295640724558,1.3718048452782667,0.9859895649756953,0.9859895649756953
F_resid,E-12_N32,tile,2156794,71,0.27273484585108254,0.1879140084334762,0.21196139873947403,0.08482083741760635,1.2867194096331962,0.9859895649756953,0.9859895649756953
F_pfree,E-12_N32,tile,2156794,71,0.17066930778129297,0.08104865179876361,0.10116234866401957,0.08962065598252936,1.6870832877567912,0.9859895649756953,0.9859895649756953
mosaic,E-12_N36,tile,2185507,80,0.16694850055095223,0.060539596243278024,0.06943260055174877,0.1064089043076742,2.4044684949762747,1.0,0.9991158618678172
F_h1only,E-12_N36,tile,2185507,80,0.17240149660943513,0.09041387275805317,0.10487649832908975,0.08198762385138196,1.6438525251716558,0.9991158618678172,0.9991158618678172
F_full,E-12_N36,tile,2185507,80,0.2664233716996053,0.05077098492386909,0.08849936920293339,0.2156523867757362,3.0104550359978663,0.9991158618678172,0.9991158618678172
F_resid,E-12_N36,tile,2185507,80,0.1732157772016606,0.11468270938319798,0.1255422249749049,0.05853306781846261,1.379741176614365,0.9991158618678172,0.9991158618678172
F_pfree,E-12_N36,tile,2185507,80,0.1824597946669406,0.09707642380953223,0.11276090837375101,0.08538337085740837,1.618112139201376,0.9991158618678172,0.9991158618678172
mosaic,E-12_N40,tile,2183890,59,0.18640131666352763,0.0743665603496763,0.10034805812586965,0.11203475631385133,1.8575478205040972,1.0,0.9983766419299995
F_h1only,E-12_N40,tile,2183890,59,0.1855132232708212,0.10249993417548028,0.1193006921835844,0.08301328909534092,1.5550054226453813,0.9983766419299995,0.9983766419299995
F_full,E-12_N40,tile,2183890,59,0.1804324530053786,0.05361173544432889,0.08178933481399932,0.12682071756104973,2.206063338401124,0.9983766419299995,0.9983766419299995
F_resid,E-12_N40,tile,2183890,59,0.11075498302933669,0.08833610557229056,0.11006402202402137,0.022418877457046127,1.0062778098838194,0.9983766419299995,0.9983766419299995
F_pfree,E-12_N40,tile,2183890,59,0.13023900490945572,0.08194060987237928,0.09882959322076372,0.04829839503707645,1.317813831516338,0.9983766419299995,0.9983766419299995
