row,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
mosaic,E-12_N32,0,0,219939,19,0.10095,0.04288,0.05499,0.05806,1.8356
mosaic,E-12_N32,0,469,219931,18,0.15368,0.04542,0.07036,0.10825,2.184
mosaic,E-12_N32,0,938,219940,13,0.27407,0.06431,0.11484,0.20976,2.3865
mosaic,E-12_N32,469,0,219931,12,0.08125,0.04247,0.0498,0.03878,1.6316
mosaic,E-12_N32,469,469,219945,17,0.01354,0.01079,0.01582,0.00275,0.8562
mosaic,E-12_N32,469,938,219938,15,0.08564,0.03312,0.06122,0.05252,1.3988
mosaic,E-12_N32,938,0,219937,13,0.03787,0.01559,0.02234,0.02229,1.695
mosaic,E-12_N32,938,469,219942,14,0.02994,0.01781,0.02587,0.01213,1.1574
mosaic,E-12_N32,938,938,219953,7,0.18822,0.06028,0.10875,0.12793,1.7307
mosaic,E-12_N36,0,0,219931,21,0.256,0.09863,0.13687,0.15738,1.8704
mosaic,E-12_N36,0,469,219944,18,0.0407,0.02628,0.03671,0.01442,1.1086
mosaic,E-12_N36,0,938,219946,11,0.25028,0.10109,0.11939,0.14919,2.0964
mosaic,E-12_N36,469,0,219950,15,0.1516,0.04264,0.05461,0.10896,2.7762
mosaic,E-12_N36,469,469,219949,12,0.16908,0.06872,0.09599,0.10036,1.7614
mosaic,E-12_N36,469,938,219957,8,0.23146,0.10417,0.15988,0.12728,1.4477
mosaic,E-12_N36,938,0,219950,10,0.09274,0.04638,0.06768,0.04637,1.3704
mosaic,E-12_N36,938,469,219931,16,0.07484,0.03116,0.04291,0.04368,1.744
mosaic,E-12_N36,938,938,219944,19,0.35716,0.12078,0.15288,0.23638,2.3362
mosaic,E-12_N40,0,0,219952,13,0.04254,0.08232,0.10909,-0.03978,0.39
mosaic,E-12_N40,0,469,219947,10,0.29595,0.07675,0.12095,0.2192,2.4468
mosaic,E-12_N40,0,938,219945,7,0.04435,0.01752,0.02351,0.02683,1.8859
mosaic,E-12_N40,469,0,219944,17,0.24129,0.05463,0.0731,0.18666,3.3009
mosaic,E-12_N40,469,469,219943,8,0.15078,0.03309,0.05369,0.11769,2.8085
mosaic,E-12_N40,469,938,219951,10,0.0352,0.03513,0.04818,7e-05,0.7307
mosaic,E-12_N40,938,0,219942,19,0.25776,0.13086,0.16833,0.1269,1.5312
mosaic,E-12_N40,938,469,219945,27,0.17846,0.09191,0.15162,0.08655,1.177
mosaic,E-12_N40,938,938,219951,11,0.18521,0.05212,0.07799,0.13309,2.3747
mosaic,E-12_N44,0,0,219947,4,0.05743,0.00929,0.02682,0.04814,2.1414
