tile,F_full,F_h1only,F_pfree,F_resid,mosaic,delta_F_full,delta_F_h1only,delta_F_pfree,delta_F_resid
E-12_N32,0.20750579548257989,0.19036543419799964,0.20927933965291154,0.18284563224962075,0.09874737828084414,0.10875841720173575,0.09161805591715551,0.1105319613720674,0.08409825396877661
E-12_N36,0.004767856406116343,0.0086039226531619,0.007041913846942257,0.020714520464051735,-0.004644998765007908,0.009412855171124251,0.013248921418169808,0.011686912611950165,0.025359519229059643
E-12_N40,0.1511777023340682,0.15854571760030983,0.1553606609563629,0.16570793287693472,0.08261358243771132,0.06856411989635687,0.07593213516259852,0.07274707851865157,0.0830943504392234
E-12_N44,0.11882874975043871,0.12657458592679557,0.11227079643829216,0.132262772864706,0.027734476270677412,0.09109427347976129,0.09884010965611817,0.08453632016761475,0.1045282965940286
E-4_N32,0.013005547174294512,0.10996018257315408,0.07625238497062702,0.08867415578277664,0.10875049618499319,-0.09574494901069867,0.0012096863881608938,-0.032498111214366174,-0.02007634040221655
E-4_N36,-0.01885485005220133,-0.017789936467664913,-0.016957640804330914,-0.016861321480397536,-0.1480530000200122,0.12919814996781087,0.1302630635523473,0.1310953592156813,0.13119167853961466
E-4_N40,0.1462435457511274,0.16564964437593552,0.17211294610962855,0.17357981767382838,0.07389512671246758,0.07234841903865984,0.09175451766346794,0.09821781939716097,0.0996846909613608
E-4_N44,0.1764284888236665,0.19699803799424842,0.18776300705845117,0.18834378017210815,0.04735709671673716,0.12907139210692933,0.14964094127751126,0.140405910341714,0.140986683455371
E-8_N32,0.14450572884419205,0.14836940846726532,0.15918788014726667,0.1717021916345161,0.1389484402474915,0.005557288596700544,0.009420968219773812,0.02023943989977517,0.032753751387024604
E-8_N36,0.06122051056558444,0.0752197896463713,0.07141746929838502,0.07895703626732141,0.06627408710902782,-0.005053576543443385,0.008945702537343475,0.0051433821893571985,0.012682949158293585
E-8_N40,0.12657490984195052,0.1258967434001004,0.12859646772082423,0.12377615055978676,0.11657467574615167,0.010000234095798852,0.009322067653948732,0.012021791974672555,0.007201474813635089
E-8_N44,0.12329733893999112,0.15635695292625928,0.14286121014751516,0.15852485077762757,0.06806050455548966,0.05523683438450146,0.08829644837076962,0.0748007055920255,0.0904643462221379
E0_N32,-0.04706325924006002,-0.05312011799398434,-0.07725606282772443,-0.08150841460487654,-0.07029107591097318,0.023227816670913164,0.01717095791698884,-0.006964986916751251,-0.011217338693903359
E0_N36,-0.010147590526245987,0.020588705341831718,-0.011242436430346761,-0.008170192488064906,-0.005751767273076335,-0.004395823253169653,0.026340472614908052,-0.005490669157270427,-0.0024184252149885713
E0_N40,0.22585827275520998,0.2574600605965918,0.2086282696363437,0.25519259533536326,0.20137145927378178,0.0244868134814282,0.056088601322810044,0.007256810362561927,0.05382113606158148
E0_N44,0.18672674123356348,0.20161155378783813,0.1823026413911011,0.20698588573144525,0.07392792103803067,0.1127988201955328,0.12768363274980746,0.10837472035307044,0.13305796469341458
E12_N44,0.1440019363777159,0.19535421057461394,0.16867185810672994,0.17230585010561186,0.1293617494865676,0.014640186891148321,0.06599246108804635,0.03931010862016235,0.04294410061904427
E16_N44,0.26541732899925063,0.40255115435182814,0.38592889102344524,0.3840392012938007,0.2750470776047872,-0.009629748605536559,0.12750407674704095,0.11088181341865805,0.10899212368901351
E4_N32,-0.18783081782433436,-0.2039370469856119,-0.2037154493425145,-0.20689306326781817,-0.2527002011089821,0.06486938328464775,0.048763154123370206,0.048984751766467605,0.04580713784116394
E4_N36,-0.03654714884158428,-0.021121555597200626,-0.04589440966758526,-0.03759960060882318,-0.04108223303430339,0.004535084192719106,0.019960677437102763,-0.004812176633281873,0.003482632425480206
E4_N40,0.17929721404310386,0.20648153096747646,0.21184561819151843,0.21950750423578766,0.2128273898253417,-0.033530175782237825,-0.006345858857865233,-0.000981771633823264,0.00668011441044597
E4_N44,0.18198131478704183,0.16633749240234022,0.19147520590848993,0.19126270763256284,0.07105270137115048,0.11092861341589134,0.09528479103118974,0.12042250453733945,0.12021000626141236
E8_N32,-0.20367254476544627,-0.21688065485441244,-0.21142124812159013,-0.2054618236337872,-0.242240771420909,0.03856822665546272,0.02536011656649656,0.030819523299318863,0.03677894778712179
E8_N36,0.03978787970828328,0.020949544847642613,0.0031193183489673713,-0.009185802710979078,0.10694913242099054,-0.06716125271270726,-0.08599958757334793,-0.10382981407202317,-0.11613493513196961
E8_N40,0.1535032304131661,0.16220317589023253,0.15311024369324044,0.16084380904181142,0.14746728490203134,0.00603594551113476,0.014735890988201189,0.005642958791209102,0.013376524139780077
E8_N44,0.21071650506961137,0.21928443231875727,0.17568747041503358,0.2001878092194285,0.1746249154516491,0.03609158961796227,0.04465951686710817,0.0010625549633844766,0.0255628937677794
