bin,lo,hi,n_tiles,rmse,mean_true,mean_pred,row,calibrator
zero,0.0,0.0,21250,0.01191810628263036,0.0,0.007507127388541134,F_h1only,rebanked_f
0_to_1e-4,0.0,0.0001,499,0.01087966612985862,7.115794088176353e-05,0.007424802590332569,F_h1only,rebanked_f
1e-4_to_1e-3,0.0001,0.001,15670,0.01149931450684807,0.0005119505823229101,0.007797374541301231,F_h1only,rebanked_f
1e-3_to_1e-2,0.001,0.01,29630,0.014721019804879935,0.004139744346945664,0.012872983209063148,F_h1only,rebanked_f
1e-2_to_max,0.01,1.0,22096,0.024746292035850496,0.02810186232802317,0.03660045185899341,F_h1only,rebanked_f
zero,0.0,0.0,21250,0.012811393725757491,0.0,0.009391124830046423,F_h1only,reused_mosaic
0_to_1e-4,0.0,0.0001,499,0.012110532628320658,7.115794088176353e-05,0.009543847726536206,F_h1only,reused_mosaic
1e-4_to_1e-3,0.0001,0.001,15670,0.012459417408928766,0.0005119505823229101,0.009830395002792121,F_h1only,reused_mosaic
1e-3_to_1e-2,0.001,0.01,29630,0.014734638871737685,0.004139744346945664,0.014519533939303818,F_h1only,reused_mosaic
1e-2_to_max,0.01,1.0,22096,0.024627888888424296,0.02810186232802317,0.03637764155690799,F_h1only,reused_mosaic
zero,0.0,0.0,21250,0.1586905139591722,0.0,0.11347472476153703,F_full,rebanked_f
0_to_1e-4,0.0,0.0001,499,0.1294219082898148,7.115794088176353e-05,0.0791206537365152,F_full,rebanked_f
1e-4_to_1e-3,0.0001,0.001,15670,0.14085547376254676,0.0005119505823229101,0.0994312106982233,F_full,rebanked_f
1e-3_to_1e-2,0.001,0.01,29630,0.1831696640671038,0.004139744346945664,0.14799523406145565,F_full,rebanked_f
1e-2_to_max,0.01,1.0,22096,0.23427909673143213,0.02810186232802317,0.24571971934698364,F_full,rebanked_f
zero,0.0,0.0,21250,0.15982425330570055,0.0,0.11474285343957873,F_full,reused_mosaic
0_to_1e-4,0.0,0.0001,499,0.12970820223862714,7.115794088176353e-05,0.0794924635161671,F_full,reused_mosaic
1e-4_to_1e-3,0.0001,0.001,15670,0.14206273507313052,0.0005119505823229101,0.10068781880340198,F_full,reused_mosaic
1e-3_to_1e-2,0.001,0.01,29630,0.18454135224812546,0.004139744346945664,0.14975766244710098,F_full,reused_mosaic
1e-2_to_max,0.01,1.0,22096,0.23490415344516674,0.02810186232802317,0.24705218020698902,F_full,reused_mosaic
zero,0.0,0.0,21250,0.01299709785404199,0.0,0.007147008196009954,F_resid,rebanked_f
0_to_1e-4,0.0,0.0001,499,0.010703817166919182,7.115794088176353e-05,0.007276632330005472,F_resid,rebanked_f
1e-4_to_1e-3,0.0001,0.001,15670,0.011857343914421675,0.0005119505823229101,0.007409654703734312,F_resid,rebanked_f
1e-3_to_1e-2,0.001,0.01,29630,0.016722648094679018,0.004139744346945664,0.012350358255925181,F_resid,rebanked_f
1e-2_to_max,0.01,1.0,22096,0.029775465794971364,0.02810186232802317,0.04013445174180894,F_resid,rebanked_f
zero,0.0,0.0,21250,0.013473658666615448,0.0,0.008790115667690598,F_resid,reused_mosaic
0_to_1e-4,0.0,0.0001,499,0.012025985591328578,7.115794088176353e-05,0.009511457559477536,F_resid,reused_mosaic
1e-4_to_1e-3,0.0001,0.001,15670,0.01269105412330444,0.0005119505823229101,0.009335926579087064,F_resid,reused_mosaic
1e-3_to_1e-2,0.001,0.01,29630,0.01703200589837718,0.004139744346945664,0.014103556077818465,F_resid,reused_mosaic
1e-2_to_max,0.01,1.0,22096,0.03109050999819843,0.02810186232802317,0.04108687868307515,F_resid,reused_mosaic
zero,0.0,0.0,21250,0.014345094711963265,0.0,0.0075958546172115934,F_pfree,rebanked_f
0_to_1e-4,0.0,0.0001,499,0.01944304101438036,7.115794088176353e-05,0.013479650151100009,F_pfree,rebanked_f
1e-4_to_1e-3,0.0001,0.001,15670,0.01672017434217642,0.0005119505823229101,0.010565182399156787,F_pfree,rebanked_f
1e-3_to_1e-2,0.001,0.01,29630,0.014011383646192413,0.004139744346945664,0.010463922228881057,F_pfree,rebanked_f
1e-2_to_max,0.01,1.0,22096,0.02137749383386208,0.02810186232802317,0.026405058038771058,F_pfree,rebanked_f
zero,0.0,0.0,21250,0.014251581913236435,0.0,0.008973534078299653,F_pfree,reused_mosaic
0_to_1e-4,0.0,0.0001,499,0.019091733698667023,7.115794088176353e-05,0.014626309520851696,F_pfree,reused_mosaic
1e-4_to_1e-3,0.0001,0.001,15670,0.016495477028423095,0.0005119505823229101,0.011851019306863353,F_pfree,reused_mosaic
1e-3_to_1e-2,0.001,0.01,29630,0.013779444460774525,0.004139744346945664,0.012040407223216266,F_pfree,reused_mosaic
1e-2_to_max,0.01,1.0,22096,0.020545842150903774,0.02810186232802317,0.026476546153692077,F_pfree,reused_mosaic
