PRODUCT_ID,component,degree,offset_source,edge_weight_tiles,n_tiles,offset_logit,trend_fitted,trend_resid,offset_residual_only,offset_logit_lcv,offset_residual_only_lcv,lofo_offset_pred,lofo_pred_err,lofo_n_edges,frame_mean_prob,ln_frame_median,radiometry_z,incidence,subsolar_lat,epoch_year,lon,lat,mola_elev,themis_night_ir,flag_big_offset_normal_radiometry,flag_under_pinned,flag_isolated
B01_009853_2288_XN_48N011W,0,3,solved,53447.0,204881,-7.9808,-6.7449,-1.2358,-1.4187,-7.9808,-1.4187,-8.0685,0.0878,3,0.5782,-2.3561,-2.346,48.1,21.56,2008.671,11.18,48.89,-4647.85,136.92,False,False,False
B01_009892_2148_XI_34N353W,0,18,solved,799401.0,235861,2.8567,2.5777,0.2791,0.0962,2.8567,0.0962,2.8669,0.0101,18,0.34968,-1.8557,0.619,47.26,21.21,2008.679,-6.82,34.83,-2516.22,122.12,True,False,False
B01_009905_2253_XI_45N352W,0,8,solved,589315.0,182318,5.7323,5.6606,0.0717,-0.1112,5.7323,-0.1112,5.7542,0.0218,8,0.45138,-2.109,-0.882,46.66,21.09,2008.682,-8.01,45.38,-3917.41,121.03,True,False,False
B01_009919_2280_XI_48N012W,0,15,solved,666089.0,344211,-9.6667,-7.5203,-2.1464,-2.3293,-9.6667,-2.3293,-9.6831,0.0164,15,0.56331,-2.3209,-2.138,49.03,20.96,2008.684,12.06,48.09,-4673.72,131.83,False,False,False
B01_009958_2210_XI_41N356W,0,11,solved,131777.0,251032,2.0653,1.5029,0.5625,0.3796,2.0653,0.3796,2.0721,0.0068,11,0.49433,-1.9326,0.163,47.53,20.59,2008.693,-3.31,41.03,-3708.61,124.8,True,False,False
B01_009998_2163_XI_36N010W,0,11,solved,607980.0,130522,-10.3824,-8.7013,-1.681,-1.8639,-10.3824,-1.8639,-10.3935,0.0112,11,0.56291,-1.8731,0.515,45.81,20.19,2008.701,10.11,36.37,-3716.11,120.5,True,False,False
B01_010064_2278_XN_47N011W,0,16,solved,364440.0,290944,-8.9771,-7.2135,-1.7636,-1.9465,-8.9771,-1.9465,-8.9786,0.0015,16,0.52469,-2.3278,-2.179,49.76,19.5,2008.715,11.55,47.89,-4605.22,124.52,False,False,False
B01_010103_2236_XI_43N355W,0,14,solved,501068.0,292482,3.7217,2.6971,1.0246,0.8417,3.7217,0.8417,3.7459,0.0242,14,0.41235,-2.1244,-0.973,49.16,19.08,2008.723,-4.24,43.62,-3958.1,126.56,True,False,False
B01_010130_2163_XN_36N011W,0,16,solved,627497.0,171894,-9.8008,-9.6631,-0.1377,-0.3206,-9.8008,-0.3206,-9.7961,0.0048,16,0.56372,-1.9205,0.235,48.73,18.78,2008.728,11.5,36.33,-3840.93,131.41,True,False,False
B01_010143_2216_XN_41N009W,0,19,solved,1028256.0,197186,-8.5086,-6.9569,-1.5517,-1.7346,-8.5086,-1.7346,-8.5233,0.0146,19,0.70956,-2.2173,-1.524,47.95,18.63,2008.731,9.23,41.68,-4379.35,124.37,True,False,False
B01_010182_2258_XI_45N353W,0,6,solved,238445.0,275417,3.8495,4.9211,-1.0716,-1.2545,3.8495,-1.2545,3.8145,0.035,6,0.48084,-2.1542,-1.15,50.16,18.17,2008.739,-6.8,45.8,-4038.33,122.82,True,False,False
B01_010195_2277_XN_47N347W,0,11,solved,319815.0,389513,6.7676,8.9746,-2.207,-2.3899,6.7676,-2.3899,6.439,0.3286,11,0.50581,-2.0209,-0.36,51.1,18.02,2008.742,-12.1,47.75,-3931.34,123.16,True,False,False
B01_010209_2277_XN_47N010W,0,7,solved,212455.0,206254,-7.2242,-6.2291,-0.9951,-1.178,-7.2242,-1.178,-7.1606,0.0636,7,0.63487,-2.3366,-2.23,51.27,17.85,2008.747,10.08,47.78,-4571.13,126.04,False,False,False
B02_010248_2250_XI_45N354W,0,20,solved,736052.0,149489,3.8953,3.9705,-0.0752,-0.2581,3.8953,-0.2581,3.8961,0.0008,20,0.44595,-2.1456,-1.099,51.09,17.38,2008.756,-5.63,45.11,-3994.84,124.73,True,False,False
B02_010261_2248_XI_44N348W,0,22,solved,1195185.0,508482,6.2861,7.814,-1.5279,-1.7108,6.2861,-1.7108,6.2869,0.0008,22,0.45519,-1.9717,-0.069,51.55,17.22,2008.758,-11.31,44.87,-3599.47,122.94,True,False,False
B02_010275_2163_XI_36N010W,0,8,solved,557850.0,111333,-10.0304,-8.7219,-1.3085,-1.4914,-10.0304,-1.4914,-10.0369,0.0065,8,0.50155,-1.8638,0.57,50.01,17.04,2008.761,10.14,36.37,-3714.25,121.6,True,False,False
B02_010288_2247_XI_44N007W,0,15,solved,811766.0,200417,-5.5971,-4.7749,-0.8223,-1.0052,-5.5971,-1.0052,-5.6023,0.0052,15,0.82182,-2.2643,-1.802,50.98,16.88,2008.764,7.01,44.75,-4384.75,130.02,True,False,False
