tile,Kj,Ki,dx_m,dy_m,tie_margin_m,height,width,n_frames
E-12_N32,-4444,13335,17.578,50.319,62.4218,1479,1479,81
E-12_N36,-4444,14817,17.578,29.109,62.4218,1479,1479,96
E-12_N40,-4444,16299,17.578,7.899,62.4218,1479,1479,67
E-12_N44,-4444,17781,17.578,14.518,62.4218,1479,1479,62
E-8_N32,-2962,13335,38.788,50.319,41.2118,1479,1479,62
E-8_N36,-2962,14817,38.788,29.109,41.2118,1479,1479,63
E-8_N40,-2962,16299,38.788,7.899,41.2118,1479,1479,48
E-8_N44,-2962,17781,38.788,14.518,41.2118,1479,1479,34
E-4_N32,-1480,13335,59.998,50.319,20.0019,1479,1479,56
E-4_N36,-1480,14817,59.998,29.109,20.0019,1479,1479,62
E-4_N40,-1480,16299,59.998,7.899,20.0019,1479,1479,60
E-4_N44,-1480,17781,59.998,14.518,20.0019,1479,1479,35
E0_N32,1,13335,79.999,50.319,0.0012,1479,1479,68
E0_N36,1,14817,79.999,29.109,0.0012,1479,1479,87
E0_N40,1,16299,79.999,7.899,0.0012,1479,1479,50
E0_N44,1,17781,79.999,14.518,0.0012,1479,1479,36
E4_N32,1483,13335,58.789,50.319,21.2111,1479,1479,56
E4_N36,1483,14817,58.789,29.109,21.2111,1479,1479,71
E4_N40,1483,16299,58.789,7.899,21.2111,1479,1479,74
E4_N44,1483,17781,58.789,14.518,21.2111,1479,1479,51
E8_N32,2965,13335,37.579,50.319,42.421,1479,1479,68
E8_N36,2965,14817,37.579,29.109,42.421,1479,1479,56
E8_N40,2965,16299,37.579,7.899,42.421,1479,1479,58
E8_N44,2965,17781,37.579,14.518,42.421,1479,1479,33
E12_N44,4447,17781,16.369,14.518,63.6309,1479,1479,57
E16_N44,5929,17781,6.048,14.518,73.9524,1479,1479,38
