PRODUCT_ID,VOLUME_ID,incidence,center_lat
T01_000807_2205_XN_40N010W,MROX_0003,45.1,40.53
P01_001334_2213_XI_41N348W,MROX_0007,48.09,41.31
P01_001414_2164_XI_36N008W,MROX_0009,48.7,36.49
P01_001440_2174_XI_37N358W,MROX_0010,48.85,37.42
P01_001466_2215_XI_41N348W,MROX_0011,50.0,41.3
P02_001810_2175_XI_37N012W,MROX_0023,52.86,37.58
P02_001928_2264_XI_46N354W,MROX_0028,57.26,46.45
P02_001968_2164_XI_36N008W,MROX_0030,52.01,36.44
P02_001994_2143_XI_34N355W,MROX_0031,53.94,34.38
P03_002100_2223_XN_42N010W,MROX_0036,57.82,42.36
P03_002139_2209_XN_40N354W,MROX_0038,57.92,40.95
P03_002166_2204_XN_40N011W,MROX_0039,58.14,40.42
P03_002271_2135_XN_33N357W,MROX_0042,57.58,33.59
P03_002284_2181_XN_38N353W,MROX_0043,59.05,38.14
P04_002508_2218_XI_41N348W,MROX_0052,63.78,41.87
P04_002587_2231_XN_43N346W,MROX_0055,65.24,43.17
P04_002719_2143_XN_34N348W,MROX_0060,63.51,34.32
P04_002746_2208_XI_40N006W,MROX_0062,66.53,40.88
P05_003089_2211_XN_41N011W,MROX_0074,71.24,41.19
P06_003234_2212_XN_41N009W,MROX_0080,72.93,41.24
P06_003247_2161_XN_36N003W,MROX_0081,70.33,36.14
P06_003445_2163_XI_36N009W,MROX_0093,71.83,36.33
P13_005950_2100_XN_30N357W,MROX_0265,48.91,30.03
P13_006135_2174_XN_37N010W,MROX_0275,51.85,37.47
P13_006174_2196_XN_39N355W,MROX_0286,52.93,39.68
P13_006201_2100_XN_30N011W,MROX_0294,46.27,30.09
P13_006253_2192_XN_39N352W,MROX_0309,51.71,39.29
P13_006279_2234_XN_43N342W,MROX_0316,54.28,43.43
P14_006464_2163_XI_36N352W,MROX_0322,47.57,36.32
P14_006464_2214_XN_41N353W,MROX_0322,50.85,41.5
P14_006477_2172_XN_37N347W,MROX_0323,48.01,37.24
P14_006570_2241_XN_44N008W,MROX_0334,51.46,44.15
P14_006622_2219_XI_41N348W,MROX_0340,49.25,41.9
P14_006635_2267_XN_46N343W,MROX_0341,52.45,46.75
P14_006636_2258_XI_45N011W,MROX_0342,51.63,45.84
P14_006649_2232_XI_43N005W,MROX_0343,49.92,43.25
P14_006688_2144_XI_34N347W,MROX_0348,45.28,34.48
P14_006701_2263_XI_46N344W,MROX_0350,51.74,46.33
P14_006702_2217_XN_41N011W,MROX_0350,48.65,41.72
P15_006714_2256_XI_45N340W,MROX_0352,50.84,45.64
P15_006728_2144_XN_34N000W,MROX_0354,44.46,34.49
P15_006754_2196_XI_39N351W,MROX_0358,46.8,39.65
P15_006794_2200_XN_40N003W,MROX_0364,47.19,40.04
P15_006807_2187_XN_38N358W,MROX_0365,46.35,38.79
P15_006820_2256_XN_45N353W,MROX_0367,50.24,45.74
P15_006833_2144_XN_34N347W,MROX_0368,43.77,34.46
P15_006847_2266_XN_46N011W,MROX_0370,50.3,46.7
P15_006925_2229_XN_42N340W,MROX_0381,47.43,42.91
P15_006952_2201_XN_40N357W,MROX_0385,45.81,40.16
P15_006965_2224_XN_42N352W,MROX_0387,46.86,42.41
P15_006992_2194_XN_39N009W,MROX_0390,45.17,39.41
P15_007005_2216_XN_41N005W,MROX_0392,46.21,41.67
P15_007018_2264_XN_46N000W,MROX_0393,48.64,46.41
P15_007031_2222_XN_42N355W,MROX_0395,46.07,42.16
P15_007044_2222_XN_42N349W,MROX_0397,46.56,42.29
P15_007058_2266_XI_46N011W,MROX_0398,48.97,46.66
P16_007123_2241_XN_44N347W,MROX_0407,46.64,44.15
P16_007163_2264_XN_46N359W,MROX_0412,47.58,46.51
P16_007176_2208_XN_40N353W,MROX_0414,44.77,40.88
P16_007203_2222_XN_42N011W,MROX_0417,45.24,42.26
P16_007215_2254_XN_45N339W,MROX_0419,46.48,45.4
P16_007216_2248_XN_44N006W,MROX_0419,46.36,44.82
P16_007229_2192_XN_39N000W,MROX_0421,43.82,39.23
P16_007242_2159_XN_35N355W,MROX_0424,42.36,35.92
P16_007255_2202_XN_40N350W,MROX_0426,44.1,40.26
P16_007348_2224_XI_42N010W,MROX_0431,44.49,42.47
P16_007374_2183_XI_38N000W,MROX_0435,42.44,38.27
P16_007387_2290_XN_49N356W,MROX_0437,47.31,49.06
P16_007400_2202_XN_40N350W,MROX_0439,43.48,40.28
P16_007414_2191_XN_39N012W,MROX_0441,43.17,39.21
P16_007426_2266_XN_46N341W,MROX_0443,45.92,46.63
P16_007427_2204_XN_40N007W,MROX_0444,43.45,40.46
P17_007492_2261_XN_46N344W,MROX_0455,44.72,46.13
P17_007493_2263_XN_46N010W,MROX_0455,45.46,46.38
