PRODUCT_ID,VOLUME_ID,edr_url,incidence_seammap,emission_seammap,image_time,n_tiles,tiles
B01_009853_2288_XN_48N011W,MROX_0678,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0678/data/B01_009853_2288_XN_48N011W.IMG,48.1,0.08,2008-09-02T06:17:01.225,1,E-12_N44
B01_009892_2148_XI_34N353W,MROX_0680,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0680/data/B01_009892_2148_XI_34N353W.IMG,47.259,5.29,2008-09-05T07:08:35.602,1,E4_N32
B01_009905_2253_XI_45N352W,MROX_0681,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0681/data/B01_009905_2253_XI_45N352W.IMG,46.658,14.65,2008-09-06T07:30:49.615,2,E4_N44;E8_N44
B01_009919_2280_XI_48N012W,MROX_0682,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0682/data/B01_009919_2280_XI_48N012W.IMG,49.03,6.91,2008-09-07T09:42:14.582,1,E-12_N44
B01_009958_2210_XI_41N356W,MROX_0684,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0684/data/B01_009958_2210_XI_41N356W.IMG,47.53,1.9395,2008-09-10T10:36:15.501,2,E0_N36;E0_N40
B01_009998_2163_XI_36N010W,MROX_0686,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0686/data/B01_009998_2163_XI_36N010W.IMG,45.81,22.25,2008-09-13T13:23:17.570,2,E-12_N32;E-12_N36
B01_010064_2278_XN_47N011W,MROX_0689,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0689/data/B01_010064_2278_XN_47N011W.IMG,49.759,0.4097,2008-09-18T16:52:07.403,1,E-12_N44
B01_010103_2236_XI_43N355W,MROX_0692,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0692/data/B01_010103_2236_XI_43N355W.IMG,49.158,2.16,2008-09-21T17:47:01.553,4,E0_N40;E0_N44;E4_N40;E4_N44
B01_010130_2163_XN_36N011W,MROX_0693,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0693/data/B01_010130_2163_XN_36N011W.IMG,48.728,0.0898,2008-09-23T20:14:24.428,1,E-12_N32
B01_010143_2216_XN_41N009W,MROX_0693,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0693/data/B01_010143_2216_XN_41N009W.IMG,47.95,18.079,2008-09-24T20:34:48.242,1,E-12_N40
B01_010182_2258_XI_45N353W,MROX_0696,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0696/data/B01_010182_2258_XI_45N353W.IMG,50.158,4.7,2008-09-27T21:32:03.482,1,E4_N44
B01_010195_2277_XN_47N347W,MROX_0697,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0697/data/B01_010195_2277_XN_47N347W.IMG,51.1,0.0898,2008-09-28T21:51:07.402,2,E12_N44;E8_N44
B01_010209_2277_XN_47N010W,MROX_0698,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0698/data/B01_010209_2277_XN_47N010W.IMG,51.27,0.0898,2008-09-30T00:01:57.971,1,E-12_N44
B02_010248_2250_XI_45N354W,MROX_0700,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0700/data/B02_010248_2250_XI_45N354W.IMG,51.09,0.0898,2008-10-03T00:57:36.511,1,E4_N44
B02_010261_2248_XI_44N348W,MROX_0701,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0701/data/B02_010261_2248_XI_44N348W.IMG,51.548,4.83,2008-10-04T01:15:34.517,2,E8_N40;E8_N44
B02_010275_2163_XI_36N010W,MROX_0701,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0701/data/B02_010275_2163_XI_36N010W.IMG,50.009,0.45,2008-10-05T03:24:22.484,2,E-12_N32;E-12_N36
B02_010288_2247_XI_44N007W,MROX_0702,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0702/data/B02_010288_2247_XI_44N007W.IMG,50.978,6.2999,2008-10-06T03:45:33.501,2,E-8_N40;E-8_N44
B02_010301_2200_XN_40N003W,MROX_0702,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0702/data/B02_010301_2200_XN_40N003W.IMG,48.829,23.53,2008-10-07T04:02:58.601,2,E-4_N36;E-4_N40
B02_010354_2163_XI_36N008W,MROX_0704,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0704/data/B02_010354_2163_XI_36N008W.IMG,49.82,12.769,2008-10-11T07:08:36.475,2,E-12_N36;E-8_N32
B02_010406_2289_XN_48N348W,MROX_0707,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0707/data/B02_010406_2289_XN_48N348W.IMG,53.829,0.66,2008-10-15T08:26:57.635,1,E8_N44
B02_010459_2250_XI_45N354W,MROX_0709,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0709/data/B02_010459_2250_XI_45N354W.IMG,53.52,0.22,2008-10-19T11:33:20.451,1,E4_N44
B02_010486_2277_XI_47N012W,MROX_0711,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0711/data/B02_010486_2277_XI_47N012W.IMG,54.49,1.1594,2008-10-21T14:03:36.533,1,E-12_N44
B02_010512_2179_XN_37N001W,MROX_0712,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0712/data/B02_010512_2179_XN_37N001W.IMG,52.618,1.57,2008-10-23T14:38:33.853,1,E-4_N36
B02_010525_2212_XN_41N356W,MROX_0712,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0712/data/B02_010525_2212_XN_41N356W.IMG,53.439,0.5997,2008-10-24T14:58:04.265,2,E0_N36;E0_N40
B02_010565_2277_XI_47N009W,MROX_0714,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0714/data/B02_010565_2277_XI_47N009W.IMG,55.469,2.0099,2008-10-27T17:48:27.466,1,E-12_N44
B02_010591_2152_XN_35N357W,MROX_0715,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0715/data/B02_010591_2152_XN_35N357W.IMG,53.478,3.43,2008-10-29T18:22:39.978,1,E0_N32
B02_010604_2269_XI_46N353W,MROX_0716,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0716/data/B02_010604_2269_XI_46N353W.IMG,56.57,9.0899,2008-10-30T18:45:01.398,1,E4_N44
B03_010657_2168_XN_36N359W,MROX_0720,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0720/data/B03_010657_2168_XN_36N359W.IMG,54.25,0.0898,2008-11-03T21:49:15.495,1,E0_N36
B03_010683_2290_XI_49N351W,MROX_0721,https://planetarydata.jpl.nasa.gov/img/data/mro/ctx/mrox_0721/data/B03_010683_2290_XI_49N351W.IMG,57.859,2.9199,2008-11-05T22:30:24.425,1,E8_N44
