arm,tile,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio,themis_rho,n_rho,common_mask_frac
baseline,E-12_N32,2187151,71,0.20746528263258987,0.05617828904800517,0.07599775389641224,0.1512869935845847,2.7298870294952766,0.08545954729657583,2187441,1.0
a1,E-12_N32,2187151,71,0.37109624630102295,0.11368309805536583,0.16660170003043243,0.2574131482456571,2.2274457357472124,0.06533524674313176,2187441,1.0
baseline,E-12_N36,2187281,79,0.20202784427233889,0.06472499158905823,0.0732961848982802,0.13730285268328066,2.7563214177205997,-0.02832264232625953,2187441,1.0
a1,E-12_N36,2187281,79,0.21333615577192633,0.055531590454780136,0.07338241333842471,0.1578045653171462,2.907183697925871,-0.01694765529900958,2187441,1.0
baseline,E-12_N40,2187120,61,0.20477509412284625,0.08463727220922097,0.112768427402445,0.12013782191362528,1.8158903058215956,0.08022177205086417,2187347,0.9999570274123964
a1,E-12_N40,2187120,61,0.271334329617389,0.10737529759429765,0.13892228445138347,0.16395903202309137,1.9531375451311686,0.06769377933555214,2187347,0.9999570274123964
baseline,E-12_N44,2187255,55,0.27394863238516676,0.1559948711350371,0.20398980692878738,0.11795376125012966,1.3429525548833032,0.027368748798749662,2187441,1.0
a1,E-12_N44,2187255,55,0.3507445782776616,0.15272044524731065,0.20600936900021183,0.19802413303035094,1.702566150170097,-0.007951584553598998,2187441,1.0
baseline,E-4_N32,2187137,50,0.08850230174989268,0.04202931028322703,0.07436665013592153,0.04647299146666565,1.1900805211494012,0.054230223400565464,2187441,1.0
a1,E-4_N32,2187137,50,0.07508918169055291,0.03544720691589845,0.05646316194371459,0.03964197477465446,1.3298791478487462,0.06754188621304022,2187441,1.0
baseline,E-4_N36,2186064,57,0.1452578323227218,0.0687969148014941,0.08390092555841212,0.0764609175212277,1.7313019058602968,-0.17287794789877414,2186255,0.9994578139478962
a1,E-4_N36,2186064,57,0.16860241033736406,0.08524874837939923,0.10411167358739354,0.08335366195796483,1.6194380949590215,-0.06771413208801583,2186255,0.9994578139478962
baseline,E-4_N40,2187206,57,0.21363261784468424,0.08688265873811228,0.1119666287372387,0.12674995910657194,1.9080025919690184,0.07378915217556664,2187441,1.0
a1,E-4_N40,2187206,57,0.13039487985428289,0.04308058134660304,0.06408088853435381,0.08731429850767986,2.034848186981335,0.06940838482031317,2187441,1.0
baseline,E-4_N44,2186610,30,0.28155734387797565,0.17339302652471603,0.20730139305734605,0.10816431735325963,1.3582028549132232,0.04669773750952026,2186756,0.9996868486967191
a1,E-4_N44,2186610,30,0.1882155082415122,0.09179040579086364,0.10628003596719855,0.09642510245064856,1.770939448116122,0.04788762493810814,2186756,0.9996868486967191
baseline,E-8_N32,2185629,52,0.15081131423898658,0.082947922679845,0.1179653959751866,0.06786339155914159,1.2784368923807872,0.11075668339196486,2185859,0.9992767804937367
a1,E-8_N32,2185629,52,0.11924423724405282,0.04446591946107028,0.0581089729160874,0.07477831778298255,2.0520795887452383,0.05115748647390438,2185859,0.9992767804937367
baseline,E-8_N36,2187248,47,0.2411420348559606,0.12363603429207051,0.13663737648172408,0.1175060005638901,1.7648321496293844,0.038492588043775075,2187441,1.0
a1,E-8_N36,2187248,47,0.28558204974018014,0.1473000116002871,0.17763055301047792,0.13828203813989304,1.607730454587587,0.04126573708688372,2187441,1.0
baseline,E-8_N40,2187250,38,0.26906397269627597,0.19751410501233585,0.22314768765906856,0.07154986768394012,1.2057663492680222,0.11349959152772904,2187441,1.0
a1,E-8_N40,2187250,38,0.2772886498250601,0.20242091544162727,0.2407568354024869,0.0748677343834328,1.1517373924669714,0.07776934196882335,2187441,1.0
baseline,E-8_N44,2185654,31,0.24050537829852747,0.12424658255652518,0.15774915219272087,0.11625879574200229,1.5246064714484424,0.05009129242185704,2185845,0.9992703803211149
a1,E-8_N44,2185654,31,0.16596796005974357,0.06544402458135704,0.09204525731687101,0.10052393547838653,1.8031125654675446,0.03359200993786662,2185845,0.9992703803211149
baseline,E0_N32,2187054,62,0.17680039344913698,0.07968381723642887,0.09610795755594756,0.09711657621270811,1.839602026150808,-0.09988790972368602,2187339,0.9999533701708984
a1,E0_N32,2187054,62,0.10748259415055807,0.050960667847621696,0.06343220949285341,0.05652192630293637,1.694448215029741,-0.04525932925433018,2187339,0.9999533701708984
baseline,E0_N36,2187188,74,0.2789707965864246,0.1946096754839527,0.2243177176940686,0.0843611211024719,1.243641382652143,-0.011336218663778685,2187441,1.0
a1,E0_N36,2187188,74,0.17521663119867834,0.12826787741890044,0.14195966948376865,0.04694875377977789,1.2342704927099892,-0.018105684250946285,2187441,1.0
baseline,E0_N40,2186757,45,0.23413043060733182,0.1655834002937272,0.20347430487312992,0.06854703031360462,1.1506633761610174,0.18560641519826976,2186928,0.9997654793889298
a1,E0_N40,2186757,45,0.13800000873332682,0.11257053171346831,0.13210092406257973,0.02542947701985851,1.0446558925504,0.17090591862032725,2186928,0.9997654793889298
baseline,E0_N44,2187303,32,0.31375743482699536,0.19887603640258597,0.2322460215782435,0.11488139842440939,1.350970116494722,0.06751922604497124,2187441,1.0
a1,E0_N44,2187303,32,0.20130862252380963,0.11082787971930688,0.13401640132513526,0.09048074280450275,1.5021192968420163,0.06546475590560881,2187441,1.0
baseline,E12_N44,2079950,55,0.24951420648623035,0.20762669833388903,0.2751251817924152,0.041887508152341324,0.906911555171607,0.11992144807124547,2080119,0.9509371909916656
a1,E12_N44,2079950,55,0.2044193079466754,0.17409302682611752,0.23450525621217952,0.03032628112055788,0.8717045888375207,0.13589400079468775,2080119,0.9509371909916656
baseline,E16_N44,2187093,37,0.2017075343340636,0.07360936744695126,0.09184318536671103,0.12809816688711234,2.196216665707823,0.2912151581833959,2187441,1.0
a1,E16_N44,2187093,37,0.18953615143375904,0.07647117836699804,0.09859857352141299,0.113064973066761,1.9223011516753519,0.27317266071671487,2187441,1.0
baseline,E4_N32,2185496,51,0.1886388426171699,0.07782557275206982,0.10726198679757147,0.11081326986510008,1.7586737692373315,-0.2599883614439849,2185837,0.9992667230796167
a1,E4_N32,2185496,51,0.16542098785079293,0.0671554746016823,0.08443812611857496,0.09826551324911063,1.9590793336471628,-0.19185538630424043,2185837,0.9992667230796167
baseline,E4_N36,2184436,61,0.19861626748788924,0.08951330585676014,0.11415165458064895,0.1091029616311291,1.739933321313056,-0.0397667394267615,2184660,0.9987286514241984
a1,E4_N36,2184436,61,0.1542759048772955,0.07842332942290686,0.10948407525220873,0.07585257545438864,1.4091173033329625,-0.0525942910231218,2184660,0.9987286514241984
baseline,E4_N40,2187254,56,0.18570106158130953,0.10498925538431883,0.12987317003117513,0.0807118061969907,1.4298647021300344,0.20067849970580048,2187441,1.0
a1,E4_N40,2187254,56,0.16359546591410676,0.08093873599251543,0.11095525200967041,0.08265672992159133,1.474427419621817,0.1845025164573042,2187441,1.0
baseline,E4_N44,2141315,47,0.31885549986376005,0.137124328874669,0.16231438001609538,0.18173117098909106,1.96443161617684,0.06299341862392369,2141440,0.9789704042303312
a1,E4_N44,2141315,47,0.24181083678116677,0.0744809344090822,0.08890973955681461,0.16732990237208456,2.7197339457579464,0.08275946342872074,2141440,0.9789704042303312
baseline,E8_N32,2187198,63,0.12315340797661842,0.08817451198715595,0.09905025124462716,0.034978895989462466,1.2433427116955313,-0.24940071714077228,2187441,1.0
a1,E8_N32,2187198,63,0.15035781690989494,0.091494223022316,0.11008284124441092,0.05886359388757895,1.3658606119737016,-0.2512721042458139,2187441,1.0
baseline,E8_N36,2187290,46,0.3511664665131982,0.12341733618638429,0.17674516602979984,0.22774913032681393,1.986851886257474,0.08790505891870475,2187441,1.0
a1,E8_N36,2187290,46,0.38505147610120943,0.10019297301848537,0.12795167235464128,0.2848585030827241,3.0093508667395095,0.08420016518891442,2187441,1.0
baseline,E8_N40,2183504,51,0.1502702208321704,0.1226138818742355,0.1493612069471826,0.0276563389579349,1.0060860105750835,0.13414156846658207,2183666,0.9982742391680507
a1,E8_N40,2183504,51,0.13853891308708816,0.11703728027782945,0.14892522270984304,0.02150163280925871,0.9302582233300336,0.1484420086388828,2183666,0.9982742391680507
baseline,E8_N44,2177495,30,0.30963394995534416,0.09580765952283134,0.13289681264973546,0.21382629043251283,2.329882438726498,0.16318134414451335,2177628,0.9955139361473063
a1,E8_N44,2177495,30,0.2490264115351649,0.06931476508273007,0.10713096797484957,0.17971164645243481,2.3245044476180516,0.1595395646773643,2177628,0.9955139361473063
