arm,tile,r0,c0,n_cells,n_frames,eta2,null_mean,null_p95,excess,ratio
baseline,E-12_N32,0,0,219934,19,0.10589561036197313,0.04916219969201366,0.06442188421768369,0.056733410669959475,1.6437831902610662
baseline,E-12_N32,0,469,219934,19,0.18124714334497175,0.056622138604942876,0.09162205110154534,0.12462500474002887,1.9782043860172298
baseline,E-12_N32,0,938,219925,13,0.28458891944661235,0.06776816836823808,0.1250548952685669,0.21682075107837429,2.2757119490239184
baseline,E-12_N32,469,0,219933,11,0.12915517197066553,0.06707736927154523,0.08680052794351355,0.062077802699120305,1.4879537605429631
baseline,E-12_N32,469,469,219937,17,0.012892852629126903,0.011337036815172551,0.017553430402726295,0.0015558158139543522,0.7344919103176814
baseline,E-12_N32,469,938,219933,15,0.0938998206576981,0.03691321988531268,0.06963365028242516,0.05698660077238542,1.3484833880868297
baseline,E-12_N32,938,0,219923,14,0.09171442043309597,0.0353643002519083,0.07459179902520181,0.056350120181187666,1.2295509912840292
baseline,E-12_N32,938,469,219931,14,0.04775128370373118,0.030532770392702014,0.04037298987205109,0.01721851331102917,1.182753218304197
baseline,E-12_N32,938,938,219939,7,0.20168257216051994,0.06049469915526642,0.12372494364105174,0.1411878730052535,1.6300882120070894
a1,E-12_N32,0,0,219934,19,0.5418353783636308,0.28584831385011034,0.3801533341111028,0.2559870645135205,1.4253074476660388
a1,E-12_N32,0,469,219934,19,0.06811807043875277,0.02664847388111356,0.04950713938550652,0.04146959655763921,1.3759241855669548
a1,E-12_N32,0,938,219925,13,0.20942639197551188,0.04161668112322844,0.07127530603065169,0.16780971085228344,2.93827418833458
a1,E-12_N32,469,0,219933,11,0.10780171890196268,0.043819898318427954,0.058932875995328454,0.06398182058353472,1.8292288825427085
a1,E-12_N32,469,469,219937,17,0.07060714579156908,0.02187192829886726,0.03966006400382787,0.04873521749270182,1.7803084176756319
a1,E-12_N32,469,938,219933,15,0.031020510902505762,0.017774185721766676,0.029766336731933872,0.013246325180739087,1.042133977783917
a1,E-12_N32,938,0,219923,14,0.05326987877488668,0.02074027624544331,0.03327955493561255,0.03252960252944337,1.6006788215152008
a1,E-12_N32,938,469,219931,14,0.08384969436271714,0.03689881620202669,0.04829434977425793,0.04695087816069045,1.736221623329756
a1,E-12_N32,938,938,219939,7,0.011702588944977277,0.01035030211012929,0.01605349247252618,0.001352286834847987,0.7289746430569544
baseline,E-12_N36,0,0,219935,21,0.3413212363370322,0.12370432684847363,0.17218426538949577,0.21761690948855858,1.9823021317594491
baseline,E-12_N36,0,469,219954,17,0.04684382232902369,0.030275203018415277,0.04610901923074068,0.016568619310608414,1.0159362118418933
baseline,E-12_N36,0,938,219949,11,0.2909189124363122,0.12246378625537971,0.14566025958319626,0.16845512618093247,1.9972428531211635
baseline,E-12_N36,469,0,219941,14,0.1816486434000471,0.03960689422951506,0.056927454103959926,0.14204174917053203,3.1908794492780848
baseline,E-12_N36,469,469,219950,12,0.17340643664015515,0.06777037801239841,0.09132914810223988,0.10563605862775674,1.8986976254944645
baseline,E-12_N36,469,938,219952,8,0.2406429149235197,0.09864045073608033,0.15279394061854348,0.14200246418743936,1.574950642344482
baseline,E-12_N36,938,0,219952,10,0.10255825868504596,0.04558290915829503,0.0765076168336706,0.056975349526750936,1.3404973639161977
baseline,E-12_N36,938,469,219937,16,0.09735138678088817,0.041855420468035934,0.06157609485017522,0.05549596631285224,1.5809931925329161
baseline,E-12_N36,938,938,219937,20,0.3881422707224219,0.12583280069525696,0.18150433750499215,0.262309470027165,2.1384738021026433
a1,E-12_N36,0,0,219935,21,0.17295630754875754,0.031457110377442275,0.042992201056963796,0.14149919717131526,4.022969359479733
a1,E-12_N36,0,469,219954,17,0.11433948155598456,0.04316590343403154,0.06659644718142733,0.07117357812195302,1.7169006215075087
a1,E-12_N36,0,938,219949,11,0.3380263783740148,0.1077208734638353,0.1489227204973611,0.23030550491017948,2.2698106591465645
a1,E-12_N36,469,0,219941,14,0.09573686953204899,0.010963568789760961,0.016443236845762734,0.08477330074228803,5.822264219025676
a1,E-12_N36,469,469,219950,12,0.031396040069997896,0.01769234997312909,0.033769423421120645,0.013703690096868806,0.9297179782572673
a1,E-12_N36,469,938,219952,8,0.19662965223439277,0.09059648209939734,0.14176587605460042,0.10603317013499543,1.3870026956181039
a1,E-12_N36,938,0,219952,10,0.0842926574438034,0.010390470045168073,0.025269103515815766,0.07390218739863533,3.335799285124824
a1,E-12_N36,938,469,219937,16,0.023959405117842118,0.01422861515057836,0.03945426202994953,0.009730789967263757,0.6072703907034087
a1,E-12_N36,938,938,219937,20,0.12867281448178555,0.056869182284383465,0.08114548181073197,0.07180363219740209,1.585705224868944
baseline,E-12_N40,0,0,219947,13,0.028187714303702253,0.08026918594987834,0.10721000290314892,-0.05208147164617608,0.2629205628244073
baseline,E-12_N40,0,469,219954,10,0.3014786667422534,0.08490038887717109,0.13559041088414941,0.21657827786508227,2.2234512365320693
baseline,E-12_N40,0,938,219952,7,0.041111703387742234,0.020523042187894386,0.030792551644949265,0.020588661199847848,1.335118435840492
baseline,E-12_N40,469,0,219848,18,0.23943302589749912,0.0611259212764815,0.0995175086163326,0.17830710462101762,2.4059387059274098
baseline,E-12_N40,469,469,219945,8,0.17309724684028108,0.04657605856061738,0.0824998028455089,0.1265211882796637,2.098153460614047
baseline,E-12_N40,469,938,219946,10,0.05772347432329324,0.034763803183098026,0.05708822383922806,0.022959671140195217,1.0111275223039724
baseline,E-12_N40,938,0,219936,19,0.2779532122132344,0.14240953420958455,0.19848696389337622,0.13554367800364983,1.4003600375616911
baseline,E-12_N40,938,469,219930,28,0.2065368949405588,0.1051285205582841,0.16389013748496625,0.1014083743822747,1.260215520653307
baseline,E-12_N40,938,938,219945,12,0.2106182973082342,0.05592202434953732,0.0880109265899142,0.15469627295869687,2.3930926018948475
a1,E-12_N40,0,0,219947,13,0.20012975515208098,0.011489732034037954,0.029399356756426125,0.18864002311804304,6.807283465762785
a1,E-12_N40,0,469,219954,10,0.23789015454245357,0.07183526665611475,0.09398324130738621,0.16605488788633882,2.531197596860895
a1,E-12_N40,0,938,219952,7,0.11012784387614287,0.017157301389408817,0.030939269556089735,0.09297054248673406,3.559484288292338
a1,E-12_N40,469,0,219848,18,0.30926078339528795,0.028905291279000194,0.050917375693473925,0.28035549211628774,6.073776960875969
a1,E-12_N40,469,469,219945,8,0.34749136584812634,0.07799879078902568,0.126087082139002,0.2694925750591007,2.7559632593055166
a1,E-12_N40,469,938,219946,10,0.19711080649017404,0.05917491861975094,0.09832833295667004,0.1379358878704231,2.004618613609915
a1,E-12_N40,938,0,219936,19,0.3335206143107365,0.14254702768325409,0.1949392732124916,0.1909735866274824,1.7108949305827446
a1,E-12_N40,938,469,219930,28,0.15852194911336773,0.0699489154651949,0.09824347654357281,0.08857303364817283,1.6135620876879322
a1,E-12_N40,938,938,219945,12,0.17410574100214665,0.06109964890541568,0.10600041409962213,0.11300609209673097,1.642500573993204
baseline,E-12_N44,0,0,219950,4,0.043119385530628974,0.010932931743225259,0.03598307401520993,0.032186453787403715,1.198324120735281
baseline,E-12_N44,0,469,219944,8,0.15030666038498355,0.05929843699495636,0.11273160057645439,0.09100822339002719,1.3333143467882
baseline,E-12_N44,0,938,219947,7,0.17990884367185267,0.03688742635225168,0.05698606729858301,0.143021417319601,3.1570671955516083
baseline,E-12_N44,469,0,219903,18,0.06232672051435362,0.03014785525682197,0.05200135164008255,0.03217886525753165,1.1985596248677561
baseline,E-12_N44,469,469,219943,7,0.22601838919277764,0.12406543724058076,0.17629495073322768,0.10195295195219688,1.2820468666444806
baseline,E-12_N44,469,938,219947,7,0.17275975550791894,0.06422178393201869,0.09411973912070587,0.10853797157590026,1.8355316017860983
baseline,E-12_N44,938,0,219938,19,0.23462528045611047,0.07226304633672057,0.13620285811754562,0.1623622341193899,1.7226164244925348
baseline,E-12_N44,938,469,219952,9,0.2389050736439024,0.12108897364024071,0.1854133535085277,0.11781610000366169,1.2884998255150726
baseline,E-12_N44,938,938,219953,6,0.3371990187842956,0.09214450774373649,0.1400314152587283,0.2450545110405591,2.4080240720360613
a1,E-12_N44,0,0,219950,4,0.0686040830860312,0.014841279454913297,0.026799886928697534,0.053762803631117906,2.5598646467634683
a1,E-12_N44,0,469,219944,8,0.06548221238026247,0.03332532448802865,0.0790228350643823,0.032156887892233824,0.8286492420439246
a1,E-12_N44,0,938,219947,7,0.07480450536715673,0.02139972997933534,0.03405895085099307,0.05340477538782139,2.1963244168742686
a1,E-12_N44,469,0,219903,18,0.14450898130471612,0.05056043975445024,0.08014920140778481,0.09394854155026588,1.802999640251938
a1,E-12_N44,469,469,219943,7,0.16598920055670313,0.09662625720885523,0.1229502607654365,0.0693629433478479,1.3500516348914133
a1,E-12_N44,469,938,219947,7,0.10502150554204455,0.036125842533850254,0.05776350543455055,0.0688956630081943,1.8181290202520708
a1,E-12_N44,938,0,219938,19,0.4499336755973425,0.08795277696489226,0.1259696684746454,0.3619808986324502,3.5717620046598997
a1,E-12_N44,938,469,219952,9,0.21940813403349976,0.09867809802172396,0.14010784999691983,0.1207300360117758,1.5659945823044412
a1,E-12_N44,938,938,219953,6,0.34000823913145967,0.09601156278640399,0.15320252401080484,0.24399667634505567,2.219338364865843
baseline,E-4_N32,0,0,219923,14,0.13321521060861782,0.045427857315503514,0.0595972443401031,0.08778735329311431,2.2352578895829427
baseline,E-4_N32,0,469,219942,9,0.12377817386839068,0.031026984420436575,0.042599986532875264,0.0927511894479541,2.905591854421564
baseline,E-4_N32,0,938,219934,12,0.03549317866525878,0.02846727380496799,0.04225096992502786,0.0070259048602907895,0.8400559496797251
baseline,E-4_N32,469,0,219930,9,0.012241230982939734,0.00874320314473894,0.014944507156931741,0.0034980278382007943,0.8191123905522611
baseline,E-4_N32,469,469,219923,12,0.10865561057467499,0.06407620725065308,0.11133702565330023,0.04457940332402191,0.9759162321528593
baseline,E-4_N32,469,938,219922,11,0.08902770177841908,0.05201431364394497,0.07986765540452916,0.03701338813447411,1.1146903127116272
