obs_id,n_tiles,mean_true,mean_pred,ratio
ESP_017355_2260,14250,0.023864953399122805,0.027189421134228727,1.139303340740155
ESP_042964_2160,2571,0.0029813150281991444,0.005424730709178382,1.819576481474746
ESP_045139_2270,6645,0.02161266107035365,0.05164394058745095,2.389522531230158
ESP_045390_2215,2552,0.003940873579545455,0.003604394975543022,0.9146182699823517
ESP_045550_2180,3032,0.014371998165402375,0.0070393679199493055,0.48979744075497683
ESP_045878_2235,7330,0.0015358064034788545,0.0008012292306748828,0.5216993683969324
ESP_045983_2270,2476,0.004903148349151857,0.0007957052146724706,0.16228454821484467
ESP_046328_2180,1876,0.008074818430170575,0.011094770803523387,1.3739963194799685
ESP_046959_2225,4157,0.009050096223237913,0.006438206120422054,0.7113964273540745
ESP_047976_2020,3271,0.0005881587243962091,0.0038502992312529054,6.546360823271878
ESP_048688_2085,1381,0.0030736049511223746,0.002853471930323264,0.9283795333818923
ESP_049242_2115,2434,0.005578731640304025,0.0007964312951260915,0.14276207325912674
ESP_051943_2270,2747,0.0025585155396796503,0.0018802475042605897,0.7348978245783936
ESP_052576_2250,4866,0.011287705828709412,0.014404925986850921,1.2761606481817678
ESP_053989_2260,2768,0.05467383941473988,0.07335370989191772,1.3416601189369153
ESP_054000_2255,3613,0.007284869741212289,0.005140396600236664,0.7056264261193559
ESP_054134_2265,3746,0.053404089361986117,0.05210112306045389,0.975601750407157
ESP_054397_2105,6092,0.0011808262885751805,0.0005692770074597721,0.4821005536273065
ESP_054622_2240,5136,0.05481333509783878,0.06270664098698664,1.1440033866769599
ESP_055017_2055,3113,0.002325115945229682,0.00022928300701549907,0.09861142945834893
ESP_055055_2255,4424,0.0021573907945298372,0.0029709533144734643,1.3771048444289518
ESP_055253_2245,2599,0.002280113745671412,0.004539381605725184,1.990857523815549
ESP_055690_2200,4913,0.00237785117290861,0.011476982314579226,4.826619279347274
ESP_055978_2270,5511,0.0008410664466521502,0.005370048565250601,6.384808937065535
ESP_059421_2170,4601,0.0021929081313844813,0.002645805634726617,1.2065282611981565
ESP_059686_2235,4380,0.026385835830479452,0.0451796090234751,1.7122674950962185
ESP_063429_2240,2190,0.019226187928082193,0.0035361994548082677,0.18392618797006643
ESP_064510_2260,4539,0.00903332576007931,0.00865018275163201,0.9575856092624808
ESP_066634_2210,4045,0.009996774567367119,0.03800577521513468,3.8018037677070855
ESP_068402_2240,5940,0.00466121501473064,0.006075827448961648,1.3034857713622883
ESP_068483_2280,5349,0.03386060770704804,0.007814011923704336,0.23076998473591662
ESP_069669_2220,4430,0.0011908154627539504,0.005295990045417131,4.447364189552352
ESP_069763_2235,4352,0.050202169979319845,0.020336079792192964,0.4050836806570345
ESP_071093_2210,3400,0.016675551470588232,0.013349585438574745,0.8005483634001722
ESP_071699_2260,3089,0.015622685840887017,0.02786422112172284,1.7835743101738504
ESP_076499_1160,7856,0.03478175021480398,0.0004575728781328768,0.013155544942592405
ESP_076565_2215,2448,0.004877211626838235,0.00600939385705273,1.232137195766602
ESP_076723_2265,6522,0.01874184251379945,0.020109781224510192,1.072988486041516
