arm,tile,generation,grid_id,cell_row0,cell_col0,raster_shape,n_layers,n_predicted_tiles,n_unique_cells,abundance_mean,prob_mean,rich_share_at_0p5,head_digest,calibration_digest,n_windows,elapsed_s,cost_s,overlap_verdict,overlap_gate_layer,overlap_n_dup,overlap_n_disagree,overlap_fraction,overlap_max_abs,overlap_scalar_legacy,overlap_note,device,device_inferred,device_evidence,abundance_n_finite,abundance_sha256_present,prob_n_finite,prob_sha256_present,prob_raw_n_finite,prob_raw_sha256_present,n_masked_nodata,n_masked_context_nodata,tile_cells,raster_nodata,nodata_reconciles,n_unique_cells_matches_raster,a1_arm,a1_clip_floor,a1_clip_fraction,a1_n_frames,a1_n_frames_too_small,a1_min_frame_px,a1_fallback_pixel_fraction
a1,E-12_N32,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-13336,-4445,1479x1479,3,2251500,,0.0011489736523647898,0.1495674111509591,0.01531512325116589,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,0.00021392774814329126,71.0,0.0,50.0,0.00010287209731107971
a1,E-12_N36,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-14818,-4445,1479x1479,3,2250000,,0.0025834069992740454,0.17584553442758985,0.03280711111111111,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,0.00019000902049775146,81.0,1.0,50.0,8.114134289260999e-05
a1,E-12_N40,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-16300,-4445,1479x1479,3,2250000,,0.0073668557065949035,0.26506946599105996,0.1574271111111111,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,2.175343462878544e-05,62.0,0.0,50.0,9.589815500488097e-05
a1,E-12_N44,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-17782,-4445,1479x1479,3,2250000,,0.007988104224235909,0.27852234285408256,0.17130533333333334,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,2.276025808122575e-06,58.0,2.0,50.0,9.261930813442287e-05
a1,E-4_N32,g2_raw_fraction,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-13336,-1481,1479x1479,3,2253001,,0.00041723611018780905,0.13639085630562803,0.0022006204169461086,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,pass,prob_raw,64592.0,12.0,0.00018578,1.4251098036766052e-05,12,"RAW fraction, any magnitude, pre-1e-6-floor: an UPPER BOUND on the gate quantity, not the gate quantity itself",NVIDIA GeForce RTX 2080 Ti,False,recorded in sidecar,2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,0.0001201882155050456,51.0,0.0,50.0,9.975423546260132e-05
a1,E-4_N36,g2_raw_fraction,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-14818,-1481,1479x1479,3,2250314,,0.001183076895994968,0.1494268983933972,0.008545029715852987,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,pass,prob_raw,63135.0,6.0,9.503e-05,0.00015375763177871704,6,"RAW fraction, any magnitude, pre-1e-6-floor: an UPPER BOUND on the gate quantity, not the gate quantity itself",NVIDIA GeForce RTX 2080 Ti,False,recorded in sidecar,2186255,True,2186255,True,2186255,True,808,378,2187441,1186,True,,a1_native_perframe_tilesupport_v2,1.0,2.5880741652789742e-05,58.0,2.0,50.0,9.223058738716539e-05
a1,E-4_N40,g2_raw_fraction,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-16300,-1481,1479x1479,3,2251500,,0.002072832479078115,0.1675339432622482,0.028136353542083055,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,pass,prob_raw,63135.0,6.0,9.503e-05,0.0002474784851074219,6,"RAW fraction, any magnitude, pre-1e-6-floor: an UPPER BOUND on the gate quantity, not the gate quantity itself",NVIDIA GeForce RTX 2080 Ti,False,recorded in sidecar,2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,0.0006235990523051899,59.0,1.0,50.0,9.977647096282016e-05
a1,E-4_N44,g2_raw_fraction,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-17782,-1481,1479x1479,3,2250815,,0.0031375991624675603,0.19039606336428525,0.04565723971094914,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,pass,prob_raw,63135.0,6.0,9.503e-05,1.6335397958755493e-05,6,"RAW fraction, any magnitude, pre-1e-6-floor: an UPPER BOUND on the gate quantity, not the gate quantity itself",NVIDIA GeForce RTX 2080 Ti,False,recorded in sidecar,2186756,True,2186756,True,2186756,True,51,634,2187441,685,True,,a1_native_perframe_tilesupport_v2,1.0,1.1994136214896764e-06,31.0,0.0,50.0,7.781912982673944e-05
a1,E-8_N32,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-13336,-2963,1479x1479,3,2249918,,0.0005419644715386072,0.13893066147639552,0.004868621878664023,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2185859,True,2185859,True,2185859,True,1295,287,2187441,1582,True,,a1_native_perframe_tilesupport_v2,1.0,0.00011847053318006838,54.0,0.0,50.0,0.00010796398574108856
a1,E-8_N36,g1_scalar_only,murray_v01_clon0_R3396190_ppd11855_S32_anchor_lonlat0,-14818,-2963,1479x1479,3,2250000,,0.002907376559449739,0.18651548406466592,0.052538666666666664,da0e423f32ddbdab7f2fdf4e863f6caaebcac3eedc76551a0f84c463cc6388be,6f2d7a77b5e70a0cff2a932f937ea6e3ffddd39bad2ccc8c3b6413b0315d690e,144,,,unknown_on_gate_layer,,,,,,0,"scalar counted on the CALIBRATED prob layer; isotonic collapses raw fp16 disagreements onto shared knots, so its 0 is not evidence",Pascal (P100 / TITAN Xp),True,run logs; the field postdates these renders (DECISIONS 2026-08-24e),2187441,True,2187441,True,2187441,True,0,0,2187441,0,True,,a1_native_perframe_tilesupport_v2,1.0,6.204193757659017e-05,50.0,1.0,50.0,8.601225158277881e-05
