tile,ab_orient,ab_aniso,ab_vert,ab_horiz,pr_orient,pr_aniso
E-12_N32,102.5,1.2096473073364054,0.006119511665031427,0.0030284173687116396,102.5,1.214898557291605
E-12_N36,92.5,1.2347671215648937,0.00568472947130454,0.0049567868351313524,92.5,1.2326795326714135
E-12_N40,92.5,1.318620501047058,0.005434325791653247,0.005742668062874828,92.5,1.343329251051773
E-12_N44,92.5,1.4271246292829136,0.006429722790498786,0.005316636270963355,92.5,1.4661010173053406
E-4_N32,127.5,1.3469676357922147,0.0027531236588390472,0.004707374243950065,127.5,1.3162920928152688
E-4_N36,92.5,1.1851987097210386,0.005878677046253896,0.002602816175606075,92.5,1.2040407775824438
E-4_N40,87.5,1.2655253118683785,0.00427469404809317,0.003929274123678243,87.5,1.2602714055535693
E-4_N44,92.5,1.360047282547623,0.004953202959702628,0.0046790547158808635,92.5,1.4006626043720896
E-8_N32,92.5,1.2659842486185484,0.005053426881425907,0.006926145752691315,92.5,1.23864512978507
E-8_N36,92.5,1.2633086602871768,0.004641587990043106,0.0041840385096747505,92.5,1.3043437067538335
E-8_N40,92.5,1.4716333946490991,0.004294690379504655,0.005935779917549168,92.5,1.5173376390900286
E-8_N44,92.5,1.3437823724310671,0.005848049324019244,0.005557745948038335,92.5,1.3767250906096862
E0_N32,112.5,1.3147106604186625,0.003362537891747245,0.0050878543848871085,112.5,1.3055781105695023
E0_N36,92.5,1.2095045434176328,0.006881533812374134,0.005523937177872289,92.5,1.2555185997519598
E0_N40,77.5,1.2931821478299188,0.004954496957241479,0.005411516238835309,77.5,1.3053249771737427
E0_N44,92.5,1.3445867217295364,0.004224779638436556,0.004349479594371291,92.5,1.3614665286100436
E12_N44,92.5,1.2411436074235125,0.007011356170024613,0.006236896504591642,172.5,1.2765223365005023
E16_N44,2.5,1.3279841245169457,0.009713034907001964,0.005295859897207428,92.5,1.4406842575913772
E4_N32,92.5,1.367407930305871,0.0051038939910556325,0.004470048153434256,92.5,1.4006694518067446
E4_N36,92.5,1.2064183450190507,0.005349331362807047,0.004866673812062973,92.5,1.197116535015308
E4_N40,92.5,1.4396563244343443,0.006027953055110175,0.009012646504381716,92.5,1.4274552699283276
E4_N44,82.5,1.198245006194151,0.003897856134702272,0.0033430047836311497,82.5,1.2374508444224332
E8_N32,92.5,1.2452414806505885,0.004585415102937315,0.0048475147085906625,92.5,1.2544367196342672
E8_N36,177.5,1.3923892890708318,0.00816131929516096,0.005343682056452426,177.5,1.258505241039488
E8_N40,92.5,1.198968963188752,0.0069665127462547,0.008455629783498928,92.5,1.1924664789152533
E8_N44,92.5,1.312353466451401,0.00507190869334818,0.004518848855323039,92.5,1.3257979864262874
