PRODUCT_ID,n_tiles,TI_min,TI_max,TJ_min,TJ_max
B01_009853_2288_XN_48N011W,204881,17621,18352,-4350,-3940
B01_009892_2148_XI_34N353W,235861,12253,13323,2344,2708
B01_009905_2253_XI_45N352W,182318,16353,17015,2757,3161
B01_009919_2280_XI_48N012W,344211,17102,18314,-4779,-4222
B01_009958_2210_XI_41N356W,251032,14559,15591,1022,1425
B01_009998_2163_XI_36N010W,130522,13094,13609,-3932,-3586
B01_010064_2278_XN_47N011W,290944,16897,18334,-4509,-4056
B01_010103_2236_XI_43N355W,292482,15463,16607,1341,1788
B01_010130_2163_XN_36N011W,171894,12953,13723,-4430,-4097
B01_010143_2216_XN_41N009W,197186,14944,15683,-3633,-3231
B01_010182_2258_XI_45N353W,275417,16327,17359,2287,2738
B01_010195_2277_XN_47N347W,389513,16862,18268,4215,4736
B01_010209_2277_XN_47N010W,206254,16834,18316,-4008,-3474
B02_010248_2250_XI_45N354W,149489,16294,16876,1909,2263
B02_010261_2248_XI_44N348W,508482,15533,17464,3903,4467
B02_010275_2163_XI_36N010W,111333,13100,13607,-3904,-3610
B02_010288_2247_XI_44N007W,200417,16066,16837,-2801,-2405
B02_010301_2200_XN_40N003W,129678,14472,14951,-1330,-965
B02_010354_2163_XI_36N008W,107703,13115,13588,-3160,-2854
B02_010406_2289_XN_48N348W,187389,17471,18569,4038,4406
B02_010459_2250_XI_45N354W,158950,16263,16882,1711,2070
B02_010486_2277_XI_47N012W,388771,16873,18281,-4947,-4424
B02_010512_2179_XN_37N001W,30253,13806,14077,-415,-265
B02_010525_2212_XN_41N356W,140380,14586,15721,1227,1525
B02_010565_2277_XI_47N009W,431941,16796,18353,-3855,-3298
B02_010591_2152_XN_35N357W,58852,12799,13080,1003,1258
B02_010604_2269_XI_46N353W,137253,16990,17494,2430,2781
B03_010657_2168_XN_36N359W,69011,13384,13703,58,326
B03_010683_2290_XI_49N351W,271610,17587,18542,3107,3555
B03_010710_2169_XN_36N006W,164196,13088,14004,-2591,-2280
B03_010723_2214_XN_41N002W,74753,15092,15411,-936,-646
B03_010736_2159_XN_35N356W,59909,13073,13355,1103,1364
B03_010749_2287_XI_48N352W,340682,17344,18522,2655,3128
B03_010776_2277_XN_47N010W,203044,16817,18287,-4057,-3658
B03_010842_2142_XN_34N010W,241922,12032,13141,-3911,-3539
B04_011264_2163_XN_36N011W,86174,12961,13721,-4478,-4257
B04_011276_2233_XN_43N340W,281583,14850,17036,7004,7485
B04_011277_2168_XN_36N006W,97656,13101,13974,-2665,-2427
B04_011277_2283_XN_48N008W,531845,16840,18735,-3492,-2878
B04_011329_2241_XI_44N347W,340971,15574,16907,4368,4841
B04_011343_2250_XI_45N009W,168753,16231,16888,-3856,-3490
B05_011409_2266_XN_46N012W,71717,17008,17289,-4618,-4306
B05_011422_2168_XI_36N005W,181906,13116,13925,-2301,-1955
B05_011620_2266_XI_46N012W,51721,17041,17246,-4568,-4268
B05_011633_2274_XN_47N007W,388755,16763,18169,-3075,-2557
B05_011685_2274_XI_47N347W,325112,16873,18054,4442,4923
B06_011830_2258_XN_45N344W,72429,16728,17007,5622,5932
B06_011870_2147_XN_34N355W,58606,12688,12969,1385,1640
B06_011976_2145_XN_34N009W,40189,12529,12840,-3646,-3475
B07_012200_2153_XN_35N005W,84018,12789,13183,-2086,-1814
B07_012516_2154_XN_35N352W,42468,12832,13226,2631,2905
B08_012635_2147_XI_34N001W,58670,12598,12879,-645,-391
B09_012951_2113_XN_31N348W,238116,10925,12073,4214,4575
B09_013334_2143_XN_34N004W,58629,12468,12748,-1814,-1561
B10_013518_2150_XN_35N351W,70454,12708,12999,3128,3435
B12_014138_2234_XN_43N356W,48539,15860,16065,1121,1403
B12_014178_2145_XI_34N007W,192764,12217,13098,-2853,-2512
B12_014270_2227_XN_42N000W,124572,15509,16015,-346,-19
B16_015879_2125_XN_32N004W,381899,11053,12840,-1981,-1524
B16_015905_2190_XN_39N355W,80723,14150,14507,1368,1658
B16_015905_2232_XN_43N356W,67807,15760,16042,1097,1393
