obs_id,method,novelty,auc
ESP_045983_2270,mahalanobis,13.922485406996511,0.5641493816340443
ESP_055253_2245,mahalanobis,15.74497463539957,0.5877495107632094
ESP_068483_2280,mahalanobis,14.840544809377555,0.6566880671999633
ESP_054000_2255,mahalanobis,16.75447421860197,0.6752278926747011
ESP_069763_2235,mahalanobis,15.438809018916174,0.6785219696520071
ESP_069669_2220,mahalanobis,17.067041546573577,0.6870854051384508
ESP_049242_2115,mahalanobis,19.29929121659581,0.6967787491996243
ESP_048688_2085,mahalanobis,19.402963984202554,0.7153130016051363
ESP_055978_2270,mahalanobis,15.406437647790288,0.719488911447759
ESP_059421_2170,mahalanobis,17.91276548303957,0.720259995513392
ESP_054397_2105,mahalanobis,20.12647274599718,0.7217774812838189
ESP_076565_2215,mahalanobis,15.470464185605197,0.7235658900814874
ESP_059686_2235,mahalanobis,15.092173199252596,0.7306829318398427
ESP_063429_2240,mahalanobis,15.187271155298411,0.7358342336160708
ESP_046328_2180,mahalanobis,18.45060041260382,0.7480565024057008
ESP_064510_2260,mahalanobis,15.434176715789127,0.7572642053507718
ESP_055017_2055,mahalanobis,19.65749789119451,0.7597341772151899
ESP_068402_2240,mahalanobis,16.642431727617577,0.7821618734897394
ESP_054622_2240,mahalanobis,15.819795465920357,0.7860449518818335
ESP_055690_2200,mahalanobis,17.631662775881715,0.7869738264286328
ESP_054134_2265,mahalanobis,14.405726730746968,0.7881628443150104
ESP_017355_2260,mahalanobis,16.31103565639452,0.7895804041421661
ESP_045550_2180,mahalanobis,17.202405255009914,0.798267422420588
ESP_066634_2210,mahalanobis,15.532219212843271,0.8034151413265412
ESP_045390_2215,mahalanobis,18.27334099914806,0.8172432567935022
ESP_071699_2260,mahalanobis,14.345514385170253,0.8183732975541747
ESP_071093_2210,mahalanobis,15.014623637219769,0.8280710528768063
ESP_047976_2020,mahalanobis,18.118718575388968,0.840258143822987
ESP_052576_2250,mahalanobis,15.431962456074922,0.8425954398082663
ESP_042964_2160,mahalanobis,19.71169750845096,0.8566119887233321
ESP_045878_2235,mahalanobis,15.416401943821375,0.8575417931003594
ESP_053989_2260,mahalanobis,15.62875164235709,0.8604213993639255
ESP_055055_2255,mahalanobis,15.171668918815822,0.8640252243835708
ESP_076499_1160,mahalanobis,37.06622633319064,0.8678968432559928
ESP_076723_2265,mahalanobis,13.836391960104354,0.8717292413246591
ESP_046959_2225,mahalanobis,16.764838283292004,0.8879278192189557
ESP_051943_2270,mahalanobis,15.196439981487307,0.892005126972683
ESP_045139_2270,mahalanobis,14.701698956867855,0.9194812952212096
ESP_045983_2270,knn_cos50,0.01332220621407032,0.5641493816340443
ESP_055253_2245,knn_cos50,0.01596952974796295,0.5877495107632094
ESP_068483_2280,knn_cos50,0.015321916900575161,0.6566880671999633
ESP_054000_2255,knn_cos50,0.01819272805005312,0.6752278926747011
ESP_069763_2235,knn_cos50,0.01566897425800562,0.6785219696520071
ESP_069669_2220,knn_cos50,0.017917349934577942,0.6870854051384508
ESP_049242_2115,knn_cos50,0.020178516395390034,0.6967787491996243
ESP_048688_2085,knn_cos50,0.020568923093378544,0.7153130016051363
ESP_055978_2270,knn_cos50,0.008632243145257235,0.719488911447759
ESP_059421_2170,knn_cos50,0.019070986658334732,0.720259995513392
ESP_054397_2105,knn_cos50,0.020532074384391308,0.7217774812838189
ESP_076565_2215,knn_cos50,0.01517689973115921,0.7235658900814874
ESP_059686_2235,knn_cos50,0.015133191365748644,0.7306829318398427
ESP_063429_2240,knn_cos50,0.015422490425407887,0.7358342336160708
ESP_046328_2180,knn_cos50,0.018843956291675568,0.7480565024057008
ESP_064510_2260,knn_cos50,0.01383123965933919,0.7572642053507718
ESP_055017_2055,knn_cos50,0.019856547936797142,0.7597341772151899
ESP_068402_2240,knn_cos50,0.01681385561823845,0.7821618734897394
ESP_054622_2240,knn_cos50,0.016031154431402683,0.7860449518818335
ESP_055690_2200,knn_cos50,0.018109207972884178,0.7869738264286328
ESP_054134_2265,knn_cos50,0.014427203219383955,0.7881628443150104
ESP_017355_2260,knn_cos50,0.017980909906327724,0.7895804041421661
ESP_045550_2180,knn_cos50,0.017400904558598995,0.798267422420588
ESP_066634_2210,knn_cos50,0.014128012116998434,0.8034151413265412
ESP_045390_2215,knn_cos50,0.019987093284726143,0.8172432567935022
ESP_071699_2260,knn_cos50,0.014081546571105719,0.8183732975541747
ESP_071093_2210,knn_cos50,0.013944471254944801,0.8280710528768063
ESP_047976_2020,knn_cos50,0.02091955579817295,0.840258143822987
ESP_052576_2250,knn_cos50,0.015749012120068073,0.8425954398082663
ESP_042964_2160,knn_cos50,0.021892964839935303,0.8566119887233321
ESP_045878_2235,knn_cos50,0.014792450238019228,0.8575417931003594
ESP_053989_2260,knn_cos50,0.014577144756913185,0.8604213993639255
ESP_055055_2255,knn_cos50,0.015168733429163694,0.8640252243835708
ESP_076499_1160,knn_cos50,0.05680195987224579,0.8678968432559928
ESP_076723_2265,knn_cos50,0.01210317574441433,0.8717292413246591
ESP_046959_2225,knn_cos50,0.0175663148984313,0.8879278192189557
ESP_051943_2270,knn_cos50,0.014826267026364803,0.892005126972683
ESP_045139_2270,knn_cos50,0.013004445470869541,0.9194812952212096
