obs_id,n_dead,dead
ESP_017355_2260,1,valid_pixel_fraction
ESP_042964_2160,1,valid_pixel_fraction
ESP_045139_2270,1,valid_pixel_fraction
ESP_045390_2215,1,valid_pixel_fraction
ESP_045550_2180,1,valid_pixel_fraction
ESP_045878_2235,1,valid_pixel_fraction
ESP_045983_2270,1,valid_pixel_fraction
ESP_046328_2180,5,"valid_pixel_fraction,shadow_fraction,shadow_fraction_strict,lacunarity_shadow_b2,lacunarity_shadow_b4"
ESP_046959_2225,1,valid_pixel_fraction
ESP_047976_2020,1,valid_pixel_fraction
ESP_048688_2085,1,valid_pixel_fraction
ESP_049242_2115,1,valid_pixel_fraction
ESP_051943_2270,1,valid_pixel_fraction
ESP_052576_2250,1,valid_pixel_fraction
ESP_053989_2260,1,valid_pixel_fraction
ESP_054000_2255,1,valid_pixel_fraction
ESP_054134_2265,1,valid_pixel_fraction
ESP_054397_2105,1,valid_pixel_fraction
ESP_054622_2240,1,valid_pixel_fraction
ESP_055017_2055,1,valid_pixel_fraction
ESP_055055_2255,1,valid_pixel_fraction
ESP_055253_2245,1,valid_pixel_fraction
ESP_055690_2200,1,valid_pixel_fraction
ESP_055978_2270,1,valid_pixel_fraction
ESP_059421_2170,1,valid_pixel_fraction
ESP_059686_2235,1,valid_pixel_fraction
ESP_063429_2240,1,valid_pixel_fraction
ESP_064510_2260,5,"valid_pixel_fraction,shadow_fraction,shadow_fraction_strict,lacunarity_shadow_b2,lacunarity_shadow_b4"
ESP_066634_2210,1,valid_pixel_fraction
ESP_068402_2240,1,valid_pixel_fraction
ESP_068483_2280,1,valid_pixel_fraction
ESP_069669_2220,1,valid_pixel_fraction
ESP_069763_2235,1,valid_pixel_fraction
ESP_071093_2210,1,valid_pixel_fraction
ESP_071699_2260,1,valid_pixel_fraction
ESP_076499_1160,1,valid_pixel_fraction
ESP_076565_2215,1,valid_pixel_fraction
ESP_076723_2265,1,valid_pixel_fraction
