,auc,dispersion,feat_shift,mean_n_sources,dom_frac,anti
ESP_017355_2260,0.7349923862364455,1.2351789427640325,0.9726377370929508,1.0034164673727366,0.9994497299194336,False
ESP_042964_2160,0.890028995798568,1.1549036574432476,0.6525887915875117,1.080592105263158,0.9868308901786804,False
ESP_045139_2270,0.7952196382428941,1.2242490827120442,0.16544655830502328,1.0,1.0,False
ESP_045390_2215,0.5948048523206751,5.9080881061292745,0.34083356388058766,1.0,1.0,False
ESP_045550_2180,0.9305823164204667,1.0116717496162895,0.6368960430326117,1.0,1.0,False
ESP_045878_2235,0.6960739260186144,9.671420240284991,0.5890362162741694,1.0,1.0,False
ESP_045983_2270,0.5033004778972521,2.3582763703038827,0.3048341405116747,1.0851788756388416,0.9874390363693237,False
ESP_046328_2180,0.3964405964405964,0.6221846213623532,1.2485913039993808,1.061503416856492,0.9855111837387085,True
ESP_046959_2225,0.5798078888207644,13.994364866184949,0.518541065607009,1.029,0.9948732852935791,False
ESP_047976_2020,0.42092547092547095,0.8003987164147075,0.6817412251589252,1.0,1.0,True
ESP_048688_2085,0.5736438859944836,1.1029300613331208,1.457760638349885,1.0822784810126582,0.9889734983444214,False
ESP_049242_2115,0.46967520108061644,1.4824245477042481,0.718748181318349,1.048951048951049,0.9890917539596558,True
ESP_051943_2270,0.6066021867115223,3.4260291852526414,0.28985140110556534,1.0933544303797469,0.9841289520263672,False
ESP_052576_2250,0.7380572279997567,1.7779344991188424,0.06055063477516778,1.0,1.0,False
ESP_053989_2260,0.8051247175482088,0.8552081437441237,1.9093119076972174,1.0,1.0,False
ESP_054000_2255,0.3942529816969279,2.8714205952185416,0.2812542847905507,1.1108374384236452,0.9787275791168213,True
ESP_054134_2265,0.6540352504638219,1.176630063642042,0.5640893356740923,1.056390977443609,0.9907464981079102,False
ESP_054397_2105,0.5247434058050988,1.4387089956006371,0.1566617852976769,1.0322138450993832,0.9928542971611023,False
ESP_054622_2240,0.5152083333333334,0.8356443890792242,0.8064736322931475,1.0,1.0,False
ESP_055017_2055,0.5791487326637972,1.5649295184739431,0.6932506447451273,1.0646492434663,0.9870827198028564,False
ESP_055055_2255,0.7335644581407293,4.569227121735257,0.3917409408117529,1.0,1.0,False
ESP_055253_2245,0.5713439690597051,2.735945387718643,0.14180111390796798,1.0016207455429498,0.999974250793457,False
ESP_055690_2200,0.7622898705526309,1.5339196635651915,0.31758227982296744,1.073666384419983,0.9848790168762207,False
ESP_055978_2270,0.2447215563341324,9.192544250675144,0.5033488536773093,1.0740458015267176,0.9872742891311646,True
ESP_059421_2170,0.5825829216654905,2.0950191239512668,0.2271730238981373,1.1383763837638377,0.9755640625953674,False
ESP_059686_2235,0.4872200584225901,0.6676292950679774,1.2205009539841296,1.0144927536231885,0.9976147413253784,True
ESP_063429_2240,0.6706150341685649,19.13831895138251,0.480094109337457,1.0,1.0,False
ESP_064510_2260,0.4044688193788055,1.189933932226022,0.16495207630119113,1.0527289546716003,0.9896920919418335,True
ESP_066634_2210,0.7441025641025641,1.2492446923981757,0.06881717917127309,1.0,1.0,False
ESP_068402_2240,0.684336655266674,7607424.361514864,0.6415664025547761,1.0753663642707607,0.9843591451644897,False
ESP_068483_2280,0.8233538484354145,1.1273868359926382,0.8690183787988827,1.0,1.0,False
ESP_069669_2220,0.5997795414462082,6.2031648251380345,0.480261195826991,1.0338983050847457,0.9938656687736511,False
ESP_069763_2235,0.9909150974562273,0.6878522316319717,0.41830385124846564,1.0374384236453202,0.9938938617706299,False
ESP_071093_2210,0.7372113835689995,1.4776584527916723,0.14787701229033054,1.0,1.0,False
ESP_071699_2260,0.5663901343284918,1.2359362810313361,0.21501669774713833,1.0835820895522388,0.9831448197364807,False
ESP_076499_1160,0.22410763275203355,31079102.457221456,0.29209370249426675,1.025660964230171,0.9967139959335327,True
ESP_076565_2215,0.6845561218442574,3.6581787056378863,0.48376738925221374,1.0826161790017212,0.9824605584144592,False
ESP_076723_2265,0.8075358851674641,1.5593015353947604,0.27278826662838024,1.0,1.0,False
