obs_id,mode,cut,dn_p1,dn_p99,contrast_p99_p1,shadow_frac_image,dead,near_dead
ESP_046328_2180,1,0,1,239,238,0.0,True,True
ESP_064510_2260,1,0,1,176,175,0.0,True,True
ESP_068402_2240,71,51,45,130,85,0.021011944512405997,False,False
ESP_045983_2270,108,88,81,164,83,0.03221297452450795,False,False
ESP_055978_2270,116,96,88,188,100,0.035935453536237935,False,False
ESP_069669_2220,77,57,41,177,136,0.041784641237124366,False,False
ESP_063429_2240,100,80,63,162,99,0.045087662292033884,False,False
ESP_045878_2235,99,79,67,134,67,0.05122178605141042,False,False
ESP_055253_2245,79,59,38,171,133,0.05259270367081975,False,False
ESP_076565_2215,135,115,82,178,96,0.06157870462737714,False,False
ESP_071093_2210,129,109,80,169,89,0.08074108629793462,False,False
ESP_076499_1160,100,80,62,171,109,0.08682611201974645,False,False
ESP_066634_2210,143,123,89,177,88,0.09221948547433642,False,False
ESP_045390_2215,132,112,57,191,134,0.09334176078851668,False,False
ESP_054397_2105,112,92,65,154,89,0.11793760987279953,False,False
ESP_046959_2225,89,69,24,156,132,0.13414317084041438,False,False
ESP_076723_2265,147,127,79,174,95,0.14515370101596517,False,False
ESP_054000_2255,122,102,70,212,142,0.15353814078500583,False,False
ESP_047976_2020,135,115,76,205,129,0.16701971311865707,False,False
ESP_068483_2280,138,118,79,231,152,0.16713163171798193,False,False
ESP_069763_2235,147,127,96,185,89,0.17787322489994925,False,False
ESP_071699_2260,137,117,64,189,125,0.1881888528073204,False,False
ESP_045139_2270,155,135,93,183,90,0.19850210767676946,False,False
ESP_017355_2260,99,79,38,191,153,0.20657954793249558,False,False
ESP_054622_2240,109,89,52,161,109,0.21036016895464,False,False
ESP_045550_2180,141,121,60,194,134,0.22855525087411857,False,False
ESP_055055_2255,127,107,70,171,101,0.23776442013560106,False,False
ESP_053989_2260,130,110,50,232,182,0.24899310705310862,False,False
ESP_048688_2085,137,117,3,241,238,0.26695064275003455,False,False
ESP_042964_2160,153,133,74,201,127,0.2696380716286068,False,False
ESP_049242_2115,138,118,48,221,173,0.2839675559434499,False,False
ESP_059686_2235,138,118,65,191,126,0.29341775091438044,False,False
ESP_055017_2055,142,122,31,205,174,0.3013191593972751,False,False
ESP_059421_2170,146,126,71,191,120,0.3089984151471244,False,False
ESP_051943_2270,138,118,39,189,150,0.3342669557370869,False,False
ESP_052576_2250,129,109,28,170,142,0.3474910633026326,False,False
ESP_046803_2325,158,138,91,179,88,0.3927484287326216,False,False
ESP_054134_2265,161,141,64,214,150,0.4346848826109074,False,False
ESP_055690_2200,169,149,67,192,125,0.4606348533674151,False,False
